Rank,Title,Score,Your Score,Status
1,"Fullmetal Alchemist: Brotherhood
        TV (64 eps)
        Apr 2009 - Jul 2010
        2,790,636 members",9.15,N/A,Add to list
2,"Shingeki no Kyojin: The Final Season Part 2
        TV (12 eps)
        Jan 2022 - 
        707,082 members",9.13,N/A,Add to list
3,"Steins;Gate
        TV (24 eps)
        Apr 2011 - Sep 2011
        2,168,627 members",9.09,N/A,Add to list
4,"Gintama°
        TV (51 eps)
        Apr 2015 - Mar 2016
        511,629 members",9.09,N/A,Add to list
5,"Shingeki no Kyojin Season 3 Part 2
        TV (10 eps)
        Apr 2019 - Jul 2019
        1,722,733 members",9.08,N/A,Add to list
6,"Fruits Basket: The Final
        TV (13 eps)
        Apr 2021 - Jun 2021
        293,483 members",9.06,N/A,Add to list
7,"Gintama'
        TV (51 eps)
        Apr 2011 - Mar 2012
        450,580 members",9.06,N/A,Add to list
8,"Gintama: The Final
        Movie (1 eps)
        Jan 2021 - Jan 2021
        90,532 members",9.05,N/A,Add to list
9,"Hunter x Hunter (2011)
        TV (148 eps)
        Oct 2011 - Sep 2014
        2,269,228 members",9.05,N/A,Add to list
10,"Gintama': Enchousen
        TV (13 eps)
        Oct 2012 - Mar 2013
        271,853 members",9.04,N/A,Add to list
11,"Ginga Eiyuu Densetsu
        OVA (110 eps)
        Jan 1988 - Mar 1997
        272,858 members",9.03,N/A,Add to list
12,"Gintama.
        TV (12 eps)
        Jan 2017 - Mar 2017
        258,391 members",8.99,N/A,Add to list
13,"3-gatsu no Lion 2nd Season
        TV (22 eps)
        Oct 2017 - Mar 2018
        339,544 members",8.96,N/A,Add to list
14,"Koe no Katachi
        Movie (1 eps)
        Sep 2016 - Sep 2016
        1,883,071 members",8.96,N/A,Add to list
15,"Violet Evergarden Movie
        Movie (1 eps)
        Sep 2020 - Sep 2020
        394,791 members",8.96,N/A,Add to list
16,"Clannad: After Story
        TV (24 eps)
        Oct 2008 - Mar 2009
        1,054,510 members",8.95,N/A,Add to list
17,"Gintama
        TV (201 eps)
        Apr 2006 - Mar 2010
        920,078 members",8.95,N/A,Add to list
18,"Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare
        Movie (1 eps)
        Jul 2013 - Jul 2013
        203,636 members",8.93,N/A,Add to list
19,"Code Geass: Hangyaku no Lelouch R2
        TV (25 eps)
        Apr 2008 - Sep 2008
        1,527,887 members",8.91,N/A,Add to list
