Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
sport anime,KeseanMack,Isnt this supposed to be a sport anime why a bazooka,en,2022-04-28,EAST BLUE,[],neutral,1.0,0.0,0.0
sport anime,SNaufalih,princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,"West Java, Indonesia",[],positive,58.0,4.0,1.0
sport anime,SNaufalih,princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,"West Java, Indonesia",[],positive,12.0,1.0,1.0
sport anime,gamecomic_sport,RT CryptoMaids BaeCafe S2 X CryptoMaids 5WLEnter 1follow baebaecafe amp CryptoMaids amp CMaids002 2RT tag 3 friends,en,2022-04-28,神奈 横浜市 ,[],neutral,0.0,42.0,0.0
sport anime,gamecomic_sport,RT CryptoMaids BaeCafe S2 X CryptoMaids 5WLEnter 1follow baebaecafe amp CryptoMaids amp CMaids002 2RT tag 3 friends,en,2022-04-28,神奈 横浜市 ,[],neutral,0.0,43.0,0.0
sport anime,fandompost,Its Blood Sport In This To Your Eternity Anime Dub Clip Crunchyroll ToYourEternity news,en,2022-04-28,,"['Anime', 'Crunchyroll', 'ToYourEternity', 'news']",neutral,0.0,0.0,0.0
sport anime,ChrisBeveridge,Its Blood Sport In This To Your Eternity Anime Dub Clip Crunchyroll ToYourEternity,en,2022-04-28,USA USA USA,"['Anime', 'Crunchyroll', 'ToYourEternity']",neutral,1.0,0.0,0.0
sport anime,godseiya,Bro this anime i just found is fucking pog I got to learn about a whole new sport ive never heard of in my entire life Im on my knees rn,en,2022-04-28,,[],negative,0.0,0.0,-0.0659090909090909
sport anime,_adotsdot_,KY0RVKU what anime is this and what is it about is it a sport anime,en,2022-04-28,,[],neutral,1.0,0.0,0.0
sport anime,femto555,RT Joyboyz The urge to keep watching sport anime until my life turns into a sport anime,en,2022-04-28,,[],neutral,0.0,1.0,0.0
sport anime,hxnxhkx,a sport kdrama where theyre actually playing sports lowkey feels like a live action of an anime,en,2022-04-28,,[],positive,1.0,0.0,0.0787878787878787
sport anime,aPebbleInTheSky,bogmonster1312 Haikyuu It is also a perfect anime as well Huge recommend Despite not being into volleyball It makes one love the sport The team the manga follows has the crow as a mascot so it becomes a recurring motif that they play like crows,en,2022-04-28,#TurboLeft,[],positive,0.0,0.0,0.6333333333333334
sport anime,SNaufalih,princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,"West Java, Indonesia",[],positive,18.0,1.0,1.0
sport anime,AbdullahKhalz,RT SNaufalih princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,Soul society 🏯,[],positive,0.0,2.0,1.0
sport anime,Joyboy_z,The urge to keep watching sport anime until my life turns into a sport anime,en,2022-04-28,Beirut,[],neutral,3.0,0.0,0.0
sport anime,tantanisaster,Why mostly in Sport Anime youll find at least one gay or who have those vibes,en,2022-04-28,In your closet,[],positive,0.0,0.0,0.2055555555555555
sport anime,Dm_LSP,like overall it was a good time because Im a fan of sport climbing but it was my first sports anime and I expected it to be have ups and downs but be mostly hopeful and supportive Instead it definitely made me feel bad for these characters and how hard they push themselves,en,2022-04-28,"Tustin, CA",[],positive,0.0,0.0,0.0953703703703704
sport anime,haly_con,princehakeem333 sensomnoire Its a sport anime focused on football soccer if youre American,en,2022-04-28,Indonesia,[],neutral,0.0,0.0,0.0
sport anime,SNaufalih,princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,"West Java, Indonesia",[],positive,0.0,0.0,1.0
sport anime,AbdullahKhalz,RT SNaufalih princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,Soul society 🏯,[],positive,0.0,1.0,1.0
sport anime,SNaufalih,princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,"West Java, Indonesia",[],positive,26.0,1.0,1.0
sport anime,SNaufalih,princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,"West Java, Indonesia",[],positive,23.0,1.0,1.0
sport anime,SNaufalih,princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,"West Java, Indonesia",[],positive,1.0,0.0,1.0
sport anime,YuriSovereignty,RT YuriAnimeNews NewEpisodeAlert Birdie Wing Golf Girls Story Episode 4 available to stream on crunchyroll Yuri Anime Spr,en,2022-04-28,USA ⇔ Japan,"['NewEpisodeAlert', 'Yuri', 'Anime', 'Spr']",positive,0.0,4.0,0.4
sport anime,Joyboy_z,The urge to keep watching sport anime until my life turns into a sport anime,en,2022-04-28,Beirut,[],neutral,1.0,0.0,0.0
sport anime,Bellliatus,Anime hororTokyo Ghoul Death Note Another Shiki Gakkou no Kaidan YamishibaiHigurashi When They Cry Deadman Wonderland Corpse Party Tortured Souls Anime sportLove all play Free Yuri On Ice Ice Skating Futsal Boys Haikyuu Kuroko No Basket,en,2022-04-28,She/Her,[],positive,0.0,0.0,0.45
sport anime,vinnyzenin,RT SNaufalih princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,She/her,[],positive,0.0,2.0,1.0
sport anime,sidneyalesandra,Mirai10 ost sounds more like anime ost and the series itself is like typical sport shonen manga,en,2022-04-28,Indonesia,[],positive,0.0,0.0,0.1666666666666666
sport anime,gamecomic_sport,RT CryptoMaids BaeCafe S2 X CryptoMaids 5WLEnter 1follow baebaecafe amp CryptoMaids amp CMaids002 2RT tag 3 friends,en,2022-04-28,神奈 横浜市 ,[],neutral,0.0,41.0,0.0
sport anime,toxcynart,i have a problem called i love any trading card be it from a game anime or sport,en,2022-04-28,poor venezuelan girl ,[],positive,1.0,0.0,0.0499999999999999
sport anime,electrolimes,i saw a post about volleyball on ig and i thought it was a haikyuu thing but no it was just normal volleyball curse my sport anime brain,en,2022-04-28,Bay Area California 🇺🇸,[],positive,2.0,0.0,0.15
sport anime,TheseLongWars,I want a good cricket anime series now so that my favourite sport can conquer the developed world,en,2022-04-28,In the City by the Sea,[],positive,1.0,0.0,0.3999999999999999
sport anime,BeautyfairMind,Red Angle TPE Silicone Dolls oral Sex Doll Troso Metal Skeleton European Anime Adult Dolls Full Body Love Doll for men sexdoll sport life,en,2022-04-28,,"['sport', 'life']",positive,0.0,0.0,0.19
sport anime,SNaufalih,princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,"West Java, Indonesia",[],positive,13.0,1.0,1.0
sport anime,SUNLIGHTJEDI,DlNLUKE Reminds me how when Yuri on ice came out and they became canon everyone was like wait really No bullshit Like they kissed on screen and everything People were still denying it LMAO but especially in sport anime were SO used to queerbaiting,en,2022-04-28,,[],positive,0.0,0.0,0.1666666666666666
sport anime,gamecomic_sport,RT CryptoMaids BaeCafe S2 X CryptoMaids 5WLEnter 1follow baebaecafe amp CryptoMaids amp CMaids002 2RT tag 3 friends,en,2022-04-28,神奈 横浜市 ,[],neutral,0.0,40.0,0.0
sport anime,Joyboy_z,The urge to keep watching sport anime until my life turns into a sport anime,en,2022-04-28,Beirut,[],neutral,4.0,1.0,0.0
sport anime,SUNLIGHTJEDI,DlNLUKE Reminds me how when Yuri on ice came out and they became canon everyone was like wait really No bullshit Like they kissed on screen and everything People were still denying it LMAO but especially in sport anime were SO used to queerbaiting,en,2022-04-28,,[],positive,1.0,0.0,0.1666666666666666
sport anime,SynRazer,RT Ecchi4Lyfe Keijo can be a brutal sport but in the aftermath you get some nice sights Keijo Ecchi Anime,en,2022-04-28,My room to night 6:00 PM ,"['Keijo', 'Ecchi', 'Anime']",positive,0.0,107.0,0.2416666666666666
sport anime,AbdullahKhalz,RT SNaufalih princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,Soul society 🏯,[],positive,0.0,4.0,1.0
sport anime,toxcynart,i have a problem called i love any trading card be it from a game anime or sport,en,2022-04-28,poor venezuelan girl ,[],positive,2.0,0.0,0.0499999999999999
sport anime,vinnyzenin,RT SNaufalih princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,She/her,[],positive,0.0,4.0,1.0
sport anime,foryaeger,animefess ReMain and love all play alias anime sport cakep semua,en,2022-04-28,15,[],positive,0.0,0.0,0.5
sport anime,jjrhdpx,RT shipperinjapan To expand on what Allison said I think ep 3 of Sarazanmai is a great subversion of this we say things that sound vagu,en,2022-04-28,,[],positive,0.0,59.0,0.6000000000000001
sport anime,ecmloud,RT SNaufalih princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,Georgia,[],positive,0.0,4.0,1.0
sport anime,SNaufalih,princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,"West Java, Indonesia",[],positive,48.0,4.0,1.0
sport anime,BigToxicLove,RT SNaufalih princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,Col.Ga,[],positive,0.0,4.0,1.0
sport anime,SNaufalih,princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,"West Java, Indonesia",[],positive,16.0,1.0,1.0
sport anime,electrolimes,i saw a post about volleyball on ig and i thought it was a haikyuu thing but no it was just normal volleyball curse my sport anime brain,en,2022-04-28,Bay Area California 🇺🇸,[],positive,1.0,0.0,0.15
sport anime,Joyboy_z,The urge to keep watching sport anime until my life turns into a sport anime,en,2022-04-28,Beirut,[],neutral,2.0,0.0,0.0
sport anime,SNaufalih,princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,"West Java, Indonesia",[],positive,9.0,1.0,1.0
sport anime,SNaufalih,princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,"West Java, Indonesia",[],positive,5.0,1.0,1.0
sport anime,SNaufalih,princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,"West Java, Indonesia",[],positive,36.0,2.0,1.0
sport anime,jussumstoner,Matthew59294336 AnikiSmashFSP I mean there nothing to say you cant do bothAnd if you enjoyed manga as a kid but didnt enjoy sport youre hardly going to start enjoying sport as an adult and stop enjoying mangaKids who liked sport as kids tend to like sports as an adultKids who liked anime,en,2022-04-28,I'm ubiquitous. ,[],positive,0.0,0.0,0.2695833333333334
sport anime,SoyPatricia,golfgirls is already dropped Golf is not this epic I wish they could do something more serious like babysteps and less unrealistic like princeoftennis I think this is the first anime about golf so its a shame to introduce this new sport as spokon in this way Disappointed,en,2022-04-28,Manga Reader.,"['golfgirls', 'babysteps', 'princeoftennis']",negative,0.0,0.0,-0.0954545454545454
sport anime,maoisaras,Ive started watching sport anime with Producerchan in my free time She keeps talking to me about yaoi but all I see is gal being pals,en,2022-04-28,,[],positive,0.0,0.0,0.5
sport anime,kimmy_anime,RT notfunnyelle my best friend is a guy and we have a pact that if were both still single at 37 well hunt each other for sport,en,2022-04-28,,[],positive,0.0,23607.0,0.2678571428571428
sport anime,kimmy_anime,RT notfunnyelle my best friend is a guy and we have a pact that if were both still single at 37 well hunt each other for sport,en,2022-04-28,,[],positive,0.0,23464.0,0.2678571428571428
sport anime,Anime_Cat_Art,RT videogamedeals Preorder Nintendo Switch Sports at Best Buy to swing kick spike and bowl your way to victory and reach the Pro Leag,en,2022-04-28,"""Earth""",[],positive,0.0,6944.0,1.0
sport anime,shikamaruhoe,RT SNaufalih princehakeem333 Slam Dunk best sport anime ive ever seen,en,2022-04-28,Infinite Tsukuyomi.,[],positive,0.0,9.0,1.0
sport anime,kimmy_anime,RT notfunnyelle my best friend is a guy and we have a pact that if were both still single at 37 well hunt each other for sport,en,2022-04-28,,[],positive,0.0,23641.0,0.2678571428571428
sport anime,Psyduck1477,qu33ncassiopeia nahh im just not into sport anime,en,2022-04-28,17 in a pokeball ,[],neutral,1.0,0.0,0.0
sport anime,Anime_Cat_Art,RT videogamedeals Preorder Nintendo Switch Sports at Best Buy to swing kick spike and bowl your way to victory and reach the Pro Leag,en,2022-04-28,"""Earth""",[],positive,0.0,6943.0,1.0
sport anime,MrWysHouse,RT CodenameSailorE Oh my god SailorMoonCosmos is doing the FingerPokeOfDoom from WCW Im gonna faint My favorite anime series and,en,2022-04-28,,"['SailorMoonCosmos', 'FingerPokeOfDoom', 'WCW', 'anime']",negative,0.0,1.0,-0.140625
sport anime,kimmy_anime,RT notfunnyelle my best friend is a guy and we have a pact that if were both still single at 37 well hunt each other for sport,en,2022-04-28,,[],positive,0.0,23411.0,0.2678571428571428
sport anime,kimmy_anime,RT notfunnyelle my best friend is a guy and we have a pact that if were both still single at 37 well hunt each other for sport,en,2022-04-28,,[],positive,0.0,23492.0,0.2678571428571428
sport anime,kimmy_anime,RT notfunnyelle my best friend is a guy and we have a pact that if were both still single at 37 well hunt each other for sport,en,2022-04-28,,[],positive,0.0,23548.0,0.2678571428571428
