Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
anime,mookswarfare,Death Metal Anime,en,2022-04-07,BAY AREA,[],neutral,0.0,0.0,0.0
anime,Izumi64003137,RT AnimeWaifuus Gray hoodie OriginalPost anime awwnime waifu,en,2022-04-07,,"['anime', 'awwnime', 'waifu']",positive,0.0,2.0,0.375
anime,KingHooplah,RT HxHPictures Anime Hunter x Hunter,en,2022-04-07,| Hidden Leaf Village |,[],neutral,0.0,486.0,0.0
anime,graciepaynne,RT hasanthehun absolutely wild thing to put in an anime truly deranged,en,2022-04-07,,[],positive,0.0,259.0,0.1
anime,dumbdragonboy,THELASTSHINOBOI BoruKaTsukuyom1 Dont bring in real life to anime bruh Try to understand it within the context of what the show is about If you want realism dont watch shonen about ninjas who can spew fire and walk on water,en,2022-04-07,"He/him, 18",[],positive,0.0,0.0,0.2
anime,J63749293,RT AwesomeFriend CGC Shiny Charizard V GiveawayJoin Discord React to Giveaway BotRetweetWinner is ann,en,2022-04-07,,[],neutral,0.0,110.0,0.0
anime,damufakka,RT shojopicture Anime Wotakoi Love Is Hard for Otaku,en,2022-04-07,"Florida, USA",[],positive,0.0,3370.0,0.1041666666666666
anime,bunnibabie,RT antabaka00 crazy how on twitter u can see ur moot constantly be mentally ill about an anime character and then find out theyre worki,en,2022-04-07,blm,[],negative,0.0,3387.0,-0.55
anime,hyaened,Anime of the season,en,2022-04-07,she/her 🇩🇪🇻🇳 20↑ 🚫 no reposts! icon w/ credit ok ,[],neutral,0.0,0.0,0.0
anime,spoilerus,anime name plz,en,2022-04-07,개참동,[],neutral,0.0,0.0,0.0
anime,Batmaning9,xNekorii Finley155 u growing like crazy ur community is with u and u have anime pics,en,2022-04-07,hell,[],negative,0.0,0.0,-0.6
anime,bbokar1boks,RT HaikyuEN 8 Years4 TV Anime Seasons85 TV Anime Episodes5 OVA Episodes4 Compilation FilmsThank you to the incredible Haikyu a,en,2022-04-07,𝗺𝗮𝗶𝗻 𝗮𝗰𝗰; boksbbokari,[],positive,0.0,2181.0,1.0
anime,amnrezety,RT ColorfulWeeb Anime Kids On The Sloop,en,2022-04-07,Shibuya ,[],neutral,0.0,3395.0,0.0
anime,commimatt,RT hasanthehun absolutely wild thing to put in an anime truly deranged,en,2022-04-07,,[],positive,0.0,100.0,0.1
anime,joeshoowah19,RT AoTJewels Anime Attack on Titan,en,2022-04-07,Old Trafford ,[],neutral,0.0,1434.0,0.0
anime,dapug_aki,RT AoTJewels Anime Attack on Titan,en,2022-04-07,,[],neutral,0.0,1042.0,0.0
anime,kiyuushin,RT NiharikaJetty These twoanime JujutsuKaisen jujutsukaisenfanart jjk nanamikento nanami,en,2022-04-07,,"['anime', 'JujutsuKaisen', 'jujutsukaisenfanart', 'jjk', 'nanamikento', 'nanami']",neutral,0.0,722.0,0.0
anime,kimgodtaeyeon,RT itslovelybirds Sakura is the only character constantly blamed and hated on by one of the most common comedy tropes in anime Non other,en,2022-04-07,,[],negative,0.0,175.0,-0.1399999999999999
anime,haratmena,RT AoTJewels Anime Attack on Titan,en,2022-04-07,,[],neutral,0.0,1844.0,0.0
anime,Rune96_,Lanturn from Pocket Monster Crystal Pokemon anime Manga GameBoy NintendoSwitch videogames Japan PokemonGo,en,2022-04-07,,"['Pokemon', 'anime', 'Manga', 'GameBoy', 'NintendoSwitch', 'videogames', 'Japan', 'PokemonGo']",neutral,0.0,0.0,0.0
anime,V3Max5,RT ChatriPhvks คลิปหลุด live งานเสียวระดับ น้องยู่ยี่เน็ตไอดอลน่าเย็ด Nattaya Deenamjued ไลฟ์สดช่วยตัวเองโชว์ นมใหญ่จุกสวยมีรอยสัก หี,th,2022-04-07,,[],positive,0.0,1.0,57.14
anime,GypsyDanger2000,RT wazzyzxn Which anime eyes has the best design,en,2022-04-07,Earth(i think),[],positive,0.0,1487.0,1.0
anime,anonpoet11,At the age of 14A high schooler invited me to his houseHe was 16 years old 2 years betweenAnime had been his Asian exposureTo him I was just a reality crossoverHis expectation of me to be a meek mouseHis expectation of me to take off my blouse,en,2022-04-07,,[],positive,0.0,0.0,0.0866666666666666
anime,kembaransydney,RT kembaransydney anitwt halo anime ayo mutualan help rt and like if you dont mind thank you,en,2022-04-07,yo,['anitwt'],neutral,0.0,4.0,0.0
