Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
 animation,petrochemicsoul,Lot of surprisingly good animation in this show about the shitty fighter pilots which is presently only about one of them but I know a recurring cast when I see one,en,2022-04-15,,[],positive,0,0,0.35
 animation,IAMBECOMECHAOS,RT shmepoe A soft fuzzy man and mongooseANIMATION PRACTICE,en,2022-04-15,he/they/she‼️ (no preference),[],positive,0,22,0.1
 animation,TobisaruJC,sweetvixenellie FBBMB Wow the uncanny animation from 2007,en,2022-04-15,"New Jersey, USA",[],positive,1,0,0.1
 animation,NekoJuarez,RT chiknnuggit They are the most delicious tiktok animation,en,2022-04-15,,"['tiktok', 'animation']",positive,0,3296,0.75
 animation,FlipFurlix,RT MichaZike Here are some things that Kirby SHOULDNT MouthfulKirby KirbyandtheForgottenLand animation,en,2022-04-15,Right behind you 🔪,"['Kirby', 'KirbyandtheForgottenLand', 'animation']",neutral,0,36,0.0
 animation,AngelLlanas24,RT Kiecaburn OnePiece1044 Luffy GEAR 5 Animation Nika Nika Awakening I hear the drums of liberation For the fist time in 800,en,2022-04-15,"San Luis Potosí, México","['OnePiece1044', 'Animation']",neutral,0,7268,0.0
 animation,Captain_Rioma,Dom2k We need this animation on 2k,en,2022-04-15,IN THE ZONE,[],neutral,0,0,0.0
 animation,kronstadt2kool,sadgalaesthetic frankiemydear1 There is a bug here apparently where if youre wielding a weapon with a particular animation set polearms over the shoulder it prevents you from being able to double jump in certain situations,en,2022-04-15,the frozen arctic tundra,[],positive,1,0,0.18619047619047618
 animation,seergrim,Its so hard getting a foot into the animation industry I wanna give up but I wont get anywhere like that Ill keep trying and improving my skillswork and hopefully Ill get something or somewhere soon,en,2022-04-15,United States,[],negative,1,0,-0.2916666666666667
 animation,dr_maiskolben,lucasartsfans I like the new modern style and what counts to me is the expression we surely can expect in the animation and voicework We have our oldschool pixelgame that was Thimbleweed so now lets go for something new And Return to already is a WONDER,en,2022-04-15,Vertania City,[],positive,1,0,0.27567471590909093
