Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
bl anime,BL_aica1004,RT AllAnimeVibe Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,761.0,0.0
bl anime,BL_aica1004,RT SpyxFamilyPS Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,2464.0,0.0
bl anime,BL_aica1004,RT SpyxFamilyPS Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,1628.0,0.0
bl anime,BL_aica1004,RT NejireeKun Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,145.0,0.0
bl anime,BL_aica1004,RT SpyFamilytweets Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,6795.0,0.0
bl anime,BL_aica1004,RT AllAnimeVibe Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,1465.0,0.0
bl anime,BL_aica1004,RT NejireeKun Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,231.0,0.0
bl anime,aaakiiioooo,power uke bl manhwayaoii manhwa fanart checkmate anime,en,2022-05-02,,"['bl', 'manhwayaoii', 'manhwa', 'fanart', 'checkmate', 'anime']",neutral,1.0,0.0,0.0
bl anime,BL_aica1004,RT Rm5aled Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,1241.0,0.0
bl anime,BL_aica1004,RT SpyxFamilyPS Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,2584.0,0.0
bl anime,BL_aica1004,RT AllAnimeVibe Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,720.0,0.0
bl anime,BL_aica1004,RT Rm5aled Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,856.0,0.0
bl anime,BL_aica1004,RT AllAnimeVibe Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,1101.0,0.0
bl anime,AllCapsAloha,Needed to doodle some persona OCs Felix and Ray one of my favorite underrated couples of mine they were from an era in my life where I was really into criminalmafia themesoc originalcharacter ocxoc bl boylove anime drawing sketches artist shipping yaoi,en,2022-05-02,Australia,"['oc', 'originalcharacter', 'ocxoc', 'bl', 'boylove', 'anime', 'drawing', 'sketches', 'artist', 'shipping', 'yaoi']",positive,5.0,1.0,0.35
bl anime,___ahyun,mostly orv papels manhwa bl anime prints mop gcash mod sco flash loc north luzon read ahyunfb for feedbackssold,en,2022-05-02,♡: 중독 (X리버스),['ahyunfb'],positive,1.0,5.0,0.35
bl anime,BL_aica1004,RT NejireeKun Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,140.0,0.0
bl anime,BL_aica1004,RT SpyFamilytweets Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,3620.0,0.0
bl anime,BL_aica1004,RT NejireeKun Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,176.0,0.0
bl anime,BL_aica1004,RT AllAnimeVibe Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,1068.0,0.0
bl anime,BL_aica1004,RT SpyFamilytweets Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,5646.0,0.0
bl anime,bl___spAce,RT hwangride hyunjin jumped straight out of an anime,en,2022-05-02,London,[],positive,0.0,9777.0,0.2
bl anime,BL_aica1004,RT SpyFamilytweets Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,5536.0,0.0
bl anime,BL_aica1004,RT SpyFamilytweets Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,6720.0,0.0
bl anime,BL_aica1004,RT Rm5aled Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,1238.0,0.0
bl anime,BL_aica1004,RT AllAnimeVibe Anime Spy x Family,en,2022-05-02,1004,[],neutral,0.0,707.0,0.0
