Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
japan animation,southstep,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,"Seoul, Korea",[],positive,0.0,84.0,0.6000000000000001
japan animation,ambargedon,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,Blitar city,[],positive,0.0,79.0,0.6000000000000001
japan animation,IngAbreuOrtiz,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,República Dominicana ,[],positive,0.0,48.0,0.6000000000000001
japan animation,devaang,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,"Gujarat, India",[],positive,0.0,79.0,0.6000000000000001
japan animation,EquallyBalance,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24, Ethos ✨💫✨,[],positive,0.0,59.0,0.6000000000000001
japan animation,Dead_P_society,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,愛,[],positive,0.0,50.0,0.6000000000000001
japan animation,Dardagirl,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,82.0,0.6000000000000001
japan animation,wtc757,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,52.0,0.6000000000000001
japan animation,antscroll,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,Nigeria,[],positive,0.0,96.0,0.6000000000000001
japan animation,AnTrentin,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,Unterfranken Germany,[],positive,0.0,118.0,0.6000000000000001
japan animation,LChaix,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,"Portland, Oregon",[],positive,0.0,69.0,0.6000000000000001
japan animation,EquallyBalance,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24, Ethos ✨💫✨,[],positive,0.0,84.0,0.6000000000000001
japan animation,omija3,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,111.0,0.6000000000000001
japan animation,iks2959,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,89.0,0.6000000000000001
japan animation,jaikishan2900,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,111.0,0.6000000000000001
japan animation,EllenSikking,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,"Haarlemmermeer, Noord-Holland,",[],positive,0.0,82.0,0.6000000000000001
japan animation,BCAgroup,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,Ajax. Ontario Canada,[],positive,0.0,59.0,0.6000000000000001
japan animation,sunandaraoerdem,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,Delhi,[],positive,0.0,79.0,0.6000000000000001
japan animation,omija3,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,69.0,0.6000000000000001
japan animation,Razvan_A_Cohut,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,BY / DEU,[],positive,0.0,118.0,0.6000000000000001
japan animation,AdontheSpot,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,"Rotterdam, Holland",[],positive,0.0,85.0,0.6000000000000001
japan animation,yunlkr,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,🇰🇷🇬🇧,[],positive,0.0,84.0,0.6000000000000001
japan animation,thisistomato,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,seoul,[],positive,0.0,111.0,0.6000000000000001
japan animation,Surlea22,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,"Connecticut, USA",[],positive,0.0,62.0,0.6000000000000001
japan animation,southstep,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,"Seoul, Korea",[],positive,0.0,122.0,0.6000000000000001
japan animation,iveseenfuture,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,대한민국,[],positive,0.0,122.0,0.6000000000000001
japan animation,RedhairedAnne,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,시리 옆자리,[],positive,0.0,122.0,0.6000000000000001
japan animation,L3on_webdev,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,122.0,0.6000000000000001
japan animation,patricksnet,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,planet earth.,[],positive,0.0,122.0,0.6000000000000001
japan animation,ValsDoodles,hoshimidaiba Also after looking into it more a large part of the better animation seems to be connected to new directors notably Megumi Ishitani whos one of Japans really successful new directors shes directed this amp a couple other episodes before this fans seem to think highly of her,en,2022-04-24,,[],positive,0.0,0.0,0.308001443001443
japan animation,taekie,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,"Seoul, South Korea",[],positive,0.0,82.0,0.6000000000000001
japan animation,aliusmani,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,Delhi Ghetto,[],positive,0.0,122.0,0.6000000000000001
japan animation,EyGuzelKirim,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,50.0,0.6000000000000001
japan animation,AImanfuture,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,"New Delhi, India",[],positive,0.0,50.0,0.6000000000000001
japan animation,AdontheSpot,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,"Rotterdam, Holland",[],positive,0.0,122.0,0.6000000000000001
japan animation,MODIfied_SKP,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,59.0,0.6000000000000001
japan animation,RosalieVermeire,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,48.0,0.6000000000000001
japan animation,Samuel16828696,RT AIRNews01 ISEKAI QUARTET the Movie Another World main trailerThe movie opens in Japan on June 10 An,en,2022-04-24,,[],positive,0.0,36.0,0.1666666666666666
japan animation,iveseenfuture,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,대한민국,[],positive,0.0,89.0,0.6000000000000001
japan animation,LChaix,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,"Portland, Oregon",[],positive,0.0,62.0,0.6000000000000001
japan animation,AImanfuture,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,"New Delhi, India",[],positive,0.0,62.0,0.6000000000000001
japan animation,KouroshMeshgi,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,"Tokyo, Japan",[],positive,0.0,85.0,0.6000000000000001
japan animation,KORplus,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,73.0,0.6000000000000001
japan animation,Datloluboy,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,On the move,[],positive,0.0,89.0,0.6000000000000001
japan animation,EquallyBalance,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24, Ethos ✨💫✨,[],positive,0.0,79.0,0.6000000000000001
japan animation,wtc757,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,62.0,0.6000000000000001
japan animation,saikekel,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,nomaden,[],positive,0.0,85.0,0.6000000000000001
japan animation,KouroshMeshgi,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,"Tokyo, Japan",[],positive,0.0,111.0,0.6000000000000001
japan animation,Kind_Geek,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,123.0,0.6000000000000001
japan animation,EyGuzelKirim,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,69.0,0.6000000000000001
japan animation,Venkatagiri_GR,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,Global 🇮🇳,[],positive,0.0,89.0,0.6000000000000001
japan animation,VikramR48535938,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,59.0,0.6000000000000001
japan animation,AnTrentin,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,Unterfranken Germany,[],positive,0.0,111.0,0.6000000000000001
japan animation,NickThiwerspoon,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,Country Victoria,[],positive,0.0,62.0,0.6000000000000001
japan animation,LChaix,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,"Portland, Oregon",[],positive,0.0,73.0,0.6000000000000001
japan animation,BCAgroup,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,Ajax. Ontario Canada,[],positive,0.0,89.0,0.6000000000000001
japan animation,debbieiw,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,Kitchen,[],positive,0.0,89.0,0.6000000000000001
japan animation,Hodl42,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,"Las Vegas, NV",[],positive,0.0,89.0,0.6000000000000001
japan animation,_kaixv,lifes short learn japanese in hopes of getting a job in animation in japan,en,2022-04-24,,[],neutral,1.0,0.0,0.0
japan animation,mariantop1,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,48.0,0.6000000000000001
japan animation,airifiani,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,84.0,0.6000000000000001
japan animation,BCAgroup,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,Ajax. Ontario Canada,[],positive,0.0,82.0,0.6000000000000001
japan animation,VikramR48535938,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,89.0,0.6000000000000001
japan animation,VikramR48535938,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,62.0,0.6000000000000001
japan animation,L3on_webdev,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,115.0,0.6000000000000001
japan animation,Dardagirl,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,52.0,0.6000000000000001
japan animation,Dead_P_society,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,愛,[],positive,0.0,55.0,0.6000000000000001
japan animation,yunlkr,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,🇰🇷🇬🇧,[],positive,0.0,59.0,0.6000000000000001
japan animation,nevastopxplorin,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,Bangalore/Bombay,[],positive,0.0,124.0,0.6000000000000001
japan animation,EllenSikking,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,"Haarlemmermeer, Noord-Holland,",[],positive,0.0,124.0,0.6000000000000001
japan animation,IngAbreuOrtiz,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,República Dominicana ,[],positive,0.0,79.0,0.6000000000000001
japan animation,Datloluboy,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,On the move,[],positive,0.0,122.0,0.6000000000000001
japan animation,airifiani,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,122.0,0.6000000000000001
japan animation,Bradford_Rogers,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,🇿🇦 🇬🇧 🇵🇹,[],positive,0.0,123.0,0.6000000000000001
japan animation,sukiyaki_1,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,123.0,0.6000000000000001
japan animation,chizu_redveIvet,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,unknown,[],positive,0.0,123.0,0.6000000000000001
japan animation,ambargedon,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,Blitar city,[],positive,0.0,122.0,0.6000000000000001
japan animation,Nicochan33,RT CurieuxExplorer An amazing animation on an LCD display on a building in JapanHT kashthefuturistSonyShi4Tech jblefevre60 F,en,2022-04-24,France,"['animation', 'Japan']",positive,0.0,6.0,0.6000000000000001
japan animation,realessandrello,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,123.0,0.6000000000000001
japan animation,RitikaG69283079,RT CurieuxExplorer An amazing animation on an LCD display on a building in JapanHT kashthefuturistSonyShi4Tech jblefevre60 F,en,2022-04-24,"Surat, India","['animation', 'Japan']",positive,0.0,6.0,0.6000000000000001
japan animation,UYQFT,RT kashthefuturist An amazing animation on an LCD display on a building in Japan,en,2022-04-24,,[],positive,0.0,123.0,0.6000000000000001
japan animation,CurieuxExplorer,An amazing animation on an LCD display on a building in JapanHT kashthefuturistSonyShi4Tech jblefevre60 FrRonconi chboursin Nicochan33 Fabriziobustama Ym78200 AlbertoEMachado3Danimation motiongraphics animation 3D 3DCG Digital,en,2022-04-24,"Mumbai, India","['animation', 'Japan', '3Danimation', 'motiongraphics', 'animation', '3D', '3DCG', 'Digital']",positive,8.0,6.0,0.3
