Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
attack on titan,UUEE32693225,RT AoTJewels Out of context Attack on Titan,en,2022-04-21,,[],neutral,0.0,3747.0,0.0
attack on titan,Singularitykin,RT AoTJewels Out of context Attack on Titan,en,2022-04-21,BTS VU LE 20 OCTOBRE ET 7 JUIN,[],neutral,0.0,3747.0,0.0
attack on titan,CharlieSmith260,RT FireMonkey This Attack on Titan Collab hits different,en,2022-04-21,England ,[],neutral,0.0,22.0,0.0
attack on titan,stirfriedpave,RT AoTJewels Out of context Attack on Titan,en,2022-04-21,,[],neutral,0.0,3495.0,0.0
attack on titan,humanoidcfmc,RT AoTJewels Out of context Attack on Titan,en,2022-04-21,,[],neutral,0.0,3069.0,0.0
attack on titan,SirPeluca_,xCDGGx videotech See it as a game that teaches lessons instead of a commercial game that will follow the path of good guys vs bad guys Like the Attack on Titan of games If you see it in this way youll be for a hell of a ride,en,2022-04-21,,[],negative,0.0,0.0,-0.1599999999999999
attack on titan,WeebB0t,RT BeeproRoy Hey cuties Im not new to anitwt but I need some new mutuals gtlt Follow and Ill fb if you like One Piece NarutoH,en,2022-04-21,,['anitwt'],positive,0.0,1.0,0.034090909090909
attack on titan,ch4pladget,RT KOK13399127 Out of context Attack on Titan Suriya,en,2022-04-21,,['Suriya'],neutral,0.0,100.0,0.0
attack on titan,__Nikkii____,hello im not really new to anitwt but lets be moots My fav animesmangas areNaruto Chainsaw manOne pieceAttack on titanMy hero academiaBorutoJujutsu kaisenDemon slayer Bleach,en,2022-04-21,Konoha,['anitwt'],positive,1.0,0.0,0.2073863636363636
attack on titan,hyerinaaaaaa,RT AoTJewels Out of context Attack on Titan,en,2022-04-21,she/her 🌈 • multifandom,[],neutral,0.0,2940.0,0.0
attack on titan,Y4OR1,RT cxrcloud Hii not new to anitwt but trying to find mootslt33rekihetheyaquariusINFJ some things I likeGe,en,2022-04-21,— she/her || 09.04.07,['anitwt'],negative,0.0,1.0,-0.0681818181818181
attack on titan,nyx75634635,RT rezebombdv Traitor is a strong word in Attack on Titan considering everyone has been it from different perspectives,en,2022-04-21,,[],positive,0.0,96.0,0.2166666666666666
attack on titan,ZombieMachineg1,HalfEyedGhoul Attack on titan is the best show ever The other three is okay But Attack on titan is so much better100 times better than the other three,en,2022-04-21,,[],positive,0.0,0.0,0.375
attack on titan,yaajiid,RT AoTJewels Out of context Attack on Titan,en,2022-04-21,Brunei,[],neutral,0.0,3026.0,0.0
attack on titan,econ0mic1,RT AoTJewels Out of context Attack on Titan,en,2022-04-21,they!them || 16,[],neutral,0.0,3450.0,0.0
attack on titan,Mr_Chollo,RT AoTJewels Out of context Attack on Titan,en,2022-04-21,Silent Hill,[],neutral,0.0,3026.0,0.0
attack on titan,CeroShowy,RT AoTJewels Out of context Attack on Titan,en,2022-04-21,"Santiago, Chile",[],neutral,0.0,4284.0,0.0
attack on titan,xleehajin,RT AoTJewels Out of context Attack on Titan,en,2022-04-21,,[],neutral,0.0,3299.0,0.0
attack on titan,allaiza_del,RT AoTJewels Out of context Attack on Titan,en,2022-04-21,Planet Namek,[],neutral,0.0,3676.0,0.0
attack on titan,Suga_narak,RT AoTshots Anime Attack on Titan,en,2022-04-21,กะลาแลนด์,[],neutral,0.0,483.0,0.0
attack on titan,GuisoAletoso,RT AoTJewels Out of context Attack on Titan,en,2022-04-21,"Bogotá, D.C., Colombia",[],neutral,0.0,3343.0,0.0
