Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
shoujo,JunielEveliene,RT apathygang day 7 of HQrarepairweek2020 I prompt dorms in which shirabu meets their new dorm mate and has a shoujo anime momen,en,2022-04-07,,['HQrarepairweek2020'],positive,0.0,15.0,0.1363636363636363
shoujo,cijanepoi_,Healin GoodPrecure Episode 38 Subtitle IndonesiaGenres Action Magic Fantasy ShoujoLink gt Anime HealinGoodPrecure,en,2022-04-07,,"['Anime', 'HealinGoodPrecure']",positive,0.0,0.0,0.3
shoujo,Kuroneko_AR,Its always bothered me so much The way you treat me like an object Isnt what youre saying now different from before Shoujo S Scandal,en,2022-04-07,nihonggo,[],positive,0.0,0.0,0.1
shoujo,benjanun_s,Last season we got Fantasy Bishoujo to redeem the genre this season we get Shokei Shoujo no Virgin Road so its not ALL bad but,en,2022-04-07,"Lesbienne, tres bien",[],negative,1.0,0.0,-0.3499999999999999
shoujo,oikawawithluv,RT violetheart08 86 is better than a lot of anime out there and its not hard carried by the direction it just has a really good story p,en,2022-04-07,anitwt - kpoptwt,[],positive,0.0,18.0,0.448611111111111
shoujo,Shoujo_Mode,RT sbearbergman I was in the newspapers as a youth activist level of OUT as a queer student at 16yo in 1991 EVERY SINGLE ONE of the,en,2022-04-07,"Chicago, IL",[],negative,0.0,9728.0,-0.0714285714285714
shoujo,Denpakei_Shoujo,RT pemprika predestined chaos,en,2022-04-07,Guangdong,[],neutral,0.0,2921.0,0.0
shoujo,Cry0Frost1,RT violetheart08 86 is better than a lot of anime out there and its not hard carried by the direction it just has a really good story p,en,2022-04-07,Behind you,[],positive,0.0,6.0,0.448611111111111
shoujo,clawed0,RT violetheart08 86 is better than a lot of anime out there and its not hard carried by the direction it just has a really good story p,en,2022-04-07,,[],positive,0.0,2.0,0.448611111111111
shoujo,anamatics,Sailor Moons live action is the best depiction of being a 14 year old Ive ever seen and its basically just power rangers but make it shoujo Even as an adult it captures that feeling of being 14 better than any show Ive seen since 2004 when it came out,en,2022-04-07,🦬,[],positive,2.0,0.0,0.3227272727272727
shoujo,RedeemedBlue,shoujovayne No thats jinx,en,2022-04-07,,[],neutral,0.0,0.0,0.0
shoujo,tacchan1109,Happy Birthday to the softest yet the fierest Shoujo protagonist Yona2022,en,2022-04-07,India,['ヨナ誕生祭2022'],positive,1.0,0.0,0.8
shoujo,OceanicEternity,violetheart08 Hot hot take then sometimes critique says more about the critic than the artI love Shoujo If it made Utena and Eighty Six Ill have more of it,en,2022-04-07,,[],positive,1.0,0.0,0.4
shoujo,oikawawithluv,RT violetheart08 86 is better than a lot of anime out there and its not hard carried by the direction it just has a really good story p,en,2022-04-07,anitwt - kpoptwt,[],positive,0.0,17.0,0.448611111111111
shoujo,tofucheekies,in a fluffy shoujo mood am i too old for shoujo mangas idc BTStwt,en,2022-04-07,pro yoongi nose booper,[],negative,0.0,0.0,-0.05
shoujo,optical_crown,MaficMystery Its actually a really easy trickduplicate your lineart then Gaussian blur the duplicate TadaaaaaaInstant shoujo glow,en,2022-04-07,the abyss,[],positive,1.0,0.0,0.5
shoujo,Zero_HMD,RT hamzayussif Magia Record Final Season,en,2022-04-07,Libya,[],neutral,0.0,20.0,0.0
shoujo,desmume88,RT Wsstalkback Cover for 2 of Arata Miyatsuki and Tota Shimouchis Tsugunai Mahou shoujo Carenza Hina is a girl paying a price fo,en,2022-04-07,,['2'],neutral,0.0,6.0,0.0
shoujo,yuzuvios,give me a good shoujo to binge,en,2022-04-07,any prns,[],positive,0.0,0.0,0.7
shoujo,SavinPatoRio,RT Nicheless PhilipposoleV2 s7rann7 TheHenny117 Lmao this statement can be applied to every fucking anime out there be it a shoujo,en,2022-04-07,,[],neutral,0.0,2.0,0.0
shoujo,shoujo_kyousou,ADashingRadio bitch dont even lie you know this would be both of us,en,2022-04-07,"Utah, USA",[],neutral,1.0,0.0,0.0
shoujo,reiinaru,RT cilorine jill amp gillian from va11halla in retro shoujo inspired style commissioned by sharlynf on IG,en,2022-04-07,Support me on Ko-Fi!,['va11halla'],neutral,0.0,3.0,0.0
shoujo,randalfucker,NOOO SEBASTIAN GET OUT OF THE FUKOUNA SHOUJO 03 ranfren,en,2022-04-07,any pronouns,['ranfren'],neutral,4.0,0.0,0.0
shoujo,KALUWALHATlAN,shoujovayne Dante could offer no less than smile that presented a perfect set of teeth It started at the remark about his name the Filipino names particularly the PreColonial ones are considered even in these times Yet they are as natural as sunlight,en,2022-04-07,,[],positive,0.0,0.0,0.33
shoujo,soumyodip98,violetheart08 Why do shoujo elements bother people so much lol Therere good shoujo anime,en,2022-04-07,,[],positive,0.0,0.0,0.75
shoujo,nietzchechan,My reason for living is shoujo manga,en,2022-04-07,HEAVEN,[],neutral,0.0,0.0,0.0
shoujo,jonathan13stars,RT hamzayussif Magia Record Final Season,en,2022-04-07,,[],neutral,0.0,17.0,0.0
shoujo,48oshis,Yuiyui Kanou Ema treasures food Shes a normal high school student If theres something different about her she really loves manga and idolizes a specific shoujo mangaka Shes not a plain girl shes quite strong and very passionate towards manga,en,2022-04-07,she/her 21,[],positive,1.0,1.0,0.1231845238095238
shoujo,lnanhquaan,RT 48oshis Yuiyui Kanou Ema treasures food Shes a normal high school student If theres something different about her she really lov,en,2022-04-07,🇻🇳,[],positive,0.0,1.0,0.1275
shoujo,Denpakei_Shoujo,RT VERTIGRISART Would you roll for Gris,en,2022-04-07,Guangdong,[],neutral,0.0,670.0,0.0
shoujo,Denpakei_Shoujo,RT pemprika predestined chaos,en,2022-04-07,Guangdong,[],neutral,0.0,2792.0,0.0
shoujo,hoegeta_,shoujokyousou u are an absolute JOY to talk to i love talking to u,en,2022-04-07,minors dni pls,[],positive,0.0,0.0,0.5
shoujo,pomooo26,fundy is from that one fable anime you watch as a kid hannah could be from a mahou shoujo quackity is from a seinen set in late 1900s wilbur is from a post apocalyptic adventure probably drama phil is from bleach,en,2022-04-07,minor 🇮🇩🇨🇳,[],negative,73.0,1.0,-0.3
shoujo,Dubsln4,p9ckergirl WSJmanga gomanga Yen press known for picking up the long shueshia Shoujo viz doesnt Just like cheeky brat I expect yen press to get it,en,2022-04-07,,[],negative,0.0,0.0,-0.05
shoujo,shoujo_kyousou,RT tacuo7886 7 feet HazbinHotel Alastor,en,2022-04-07,"Utah, USA","['HazbinHotel', 'Alastor']",neutral,0.0,23.0,0.0
shoujo,BlackRockShadow,Gonna start 2 seasonal anime I was interested in before I go to bedFirst one should not be a surprise at all if youve been following me for a while second one Shokei Shoujo no Virgin Road sounds like a sick concept though so Im excited to give it a fair look,en,2022-04-07,Half Asleep,[],positive,0.0,0.0,0.1229591836734693
shoujo,shoujo_rei_,RT starIine an update,en,2022-04-07,they/he,[],neutral,0.0,138.0,0.0
shoujo,cryiiic,haruutoki kabedon in the TRAIN that is the main shoujo manga experience,en,2022-04-07,They/Them,[],positive,1.0,0.0,0.1666666666666666
