Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
2d animation,_edboii_,RT chromat1cfire 2D animation for the Jujutsu Kaisen fights are on another level frfr,en,2022-04-22,Exploring the Infinite,[],neutral,0.0,538.0,0.0
2d animation,thwperth,RT chromat1cfire 2D animation for the Jujutsu Kaisen fights are on another level frfr,en,2022-04-22,1427,[],neutral,0.0,712.0,0.0
2d animation,JCamaraG,RT RessencourtA blood cell wrapped by shimmer 2d handmade animation for arcane episode 7 ForticheProd arcaneshow arcane arcanes,en,2022-04-22,"Santiago de Compostela, España","['arcane', 'arcanes']",neutral,0.0,76.0,0.0
2d animation,Sodiumman123,RT amadcartoonist Lots of stand alone films with radically different directors and genres Mister Miracle heist movie indie Teen Titans,en,2022-04-22,,[],neutral,0.0,2.0,0.0
2d animation,satozeninxiao,RT chromat1cfire 2D animation for the Jujutsu Kaisen fights are on another level frfr,en,2022-04-22,20+ | she/her | 🇵🇭,[],neutral,0.0,545.0,0.0
2d animation,ConorMc____,RT chromat1cfire 2D animation for the Jujutsu Kaisen fights are on another level frfr,en,2022-04-22,"Meath, Ireland",[],neutral,0.0,699.0,0.0
2d animation,Infinteswagger,RT chromat1cfire 2D animation for the Jujutsu Kaisen fights are on another level frfr,en,2022-04-22,,[],neutral,0.0,699.0,0.0
2d animation,remintonzx,RT chromat1cfire 2D animation for the Jujutsu Kaisen fights are on another level frfr,en,2022-04-22,ʙᴛᴛᴍ,[],neutral,0.0,712.0,0.0
2d animation,Sgeuppanun_bobu,RT mchii0 I made 2d live animation for my AR merch but i failed and cant use it nowyjh orv,en,2022-04-22,♥경로당♥ 회원,"['yjh', 'orv']",negative,0.0,247.0,-0.1818181818181818
2d animation,_dopeasscherry,RT chromat1cfire 2D animation for the Jujutsu Kaisen fights are on another level frfr,en,2022-04-22,,[],neutral,0.0,571.0,0.0
2d animation,Blue_n_Sleepy,RT chromat1cfire 2D animation for the Jujutsu Kaisen fights are on another level frfr,en,2022-04-22,I have brainrot,[],neutral,0.0,545.0,0.0
2d animation,animationjobs,2D Production Supervisor job with M2 Animation a Bangkok based studio Working on creating TV Series TVCs and HighSpec Short,en,2022-04-22,Global 🌍,[],neutral,0.0,1.0,0.0
2d animation,TFurstman,Baird9965 I have the ebook of Bone as a BampW One Volume Edition Love this series I Hope Bone does make it to Animation as a 2D Series,en,2022-04-22,"Howard Beach, Queens, NY",[],positive,0.0,0.0,0.5
2d animation,AzevedoAnd,RT chromat1cfire 2D animation for the Jujutsu Kaisen fights are on another level frfr,en,2022-04-22,"São Paulo, Brasil",[],neutral,0.0,712.0,0.0
