Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
seinen,user601720692,@itzuomi HAVE FUN OMG it’s one of my fav seinen mangas,,2022-03-19,,,,0.0,0.0,
seinen,TheSugoiSauce,"Damn I wouldn't know, tbf I'm sure they comprise the Seinen and Shojo genre which I abhor, so kudos https://t.co/ywsnC3nzTj",,2022-03-19,,,,0.0,0.0,
seinen,thoughts0nanime,@weeb_ams one is shounen and other is seinen,,2022-03-19,,,,0.0,0.0,
seinen,crystallize56,"@Wictor2501 Ngl, AOT became more of a seinen during Season 3 when they started to focus on politics",,2022-03-19,,,,0.0,0.0,
seinen,seinen_ishigami,"Poeltl 23 - 5/8 - 👤1

⬛⬛⬛⬛🟨🟨🟨⬛
⬛⬛⬛⬛🟨🟨⬛⬛
⬛⬛🟩⬛🟩🟨⬛⬛
⬛🟩🟩🟩🟨🟨⬛⬛
🟩🟩🟩🟩🟩🟩🟩🟩
easy 🥱",,2022-03-19,,,,0.0,0.0,
seinen,Wersdasauce_,"@Wictor2501 Monster???? Shounen??? Iirc, it's a seinen, right?",,2022-03-19,,,,0.0,0.0,
seinen,K1N0SUKE,@Wictor2501 isnt berserk the most seinen of all,,2022-03-19,,,,0.0,0.0,
seinen,n_diene,@Alitabattlean18 @Jwxrld_ @nkkolo87 It’s a seinen,,2022-03-19,,,,0.0,0.0,
seinen,Really2early,"#mangafortoday
Title: Asuperu Kanojo
Genre: Seinen, Romance, Drama, Slice of Life, Psychological 
Pub. Stats: 12 Volumes (Complete) &amp; Scans: Ongoing https://t.co/TBQcKft9wy",,2022-03-19,,,,0.0,0.0,
seinen,NagaokaZen_Juku,"SFTD #6:
“Zen practitioners need to know the NEMBUTSU”
“Zen not knowing what NEMBUTSU is, is not real”
“Zen monk not knowing Pure Land Buddhism is not real”
（Morimoto Seinen Roshi）
#zen #Nagaokazenjuku #kyoto https://t.co/kN6XOjUzS6",,2022-03-19,,,,0.0,0.0,
seinen,seinen_ishigami,"I feel like almost everyone that posts something saying “clearing up cap I saw on the tl” don’t even see anything, they’re just tryna start some shit 💀",,2022-03-19,,,,0.0,0.0,
seinen,Meerruemm,@maimai04753 Weebs when they find out that shounen and seinen aren't the only manga demographics https://t.co/dSJYTF1pYO,,2022-03-19,,,,3.0,0.0,
seinen,yvcandentsoul,"@Bary0nyx @Mushiraya What the guy is saying is that good anime should be more seinen than shonen, basically. more deep, ""realistic"" and meaningful.

Its not that hard to understand, he isnt trashing other people's tastes",,2022-03-19,,,,0.0,0.0,
seinen,dispydevil,@Pain7757 @SaylupGG @Wictor2501 @Digiordep Hard seinen clears,,2022-03-19,,,,1.0,0.0,
seinen,NucProgress,"@Irkutyanin1 ""Gag Manga about a Jew in the Ukraine avoiding pogroms.""
""That's not ho-""
""Always With Honor anime film.""
""You spread knowl-""
""Seinen manga/anime about a 16 year old Baltic German white soldier. He has a harem with a member from every race of the Russian Empire. Would watch!"" https://t.co/Qv4Cge2cpg",,2022-03-19,,,,0.0,0.0,
seinen,RoshanGow_Gow,@captxlevi Ok u got me hooked up by the fact its a sol seinen,,2022-03-19,,,,0.0,0.0,
seinen,Kur0Kaen,@Wictor2501 Isn’t Ghoul and Berserk Seinen?,,2022-03-19,,,,0.0,0.0,
