Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
school life anime,Surticks,"@cheffavro1 5 girls that are in a prison like school and all of them explain their reasons on why they ended up there. A guy then shows up to start his ""ordinary"" life there and well it starts become other than ordinary. pretty good anime! totally would recommend.",,2022-03-19,,,,0.0,0.0,
school life anime,maysurei,"13 yo: obsessed with boy bands, anime nerds, yugioh card collectors, Naruto sprint, emo phase, crushes, bringing toys to school, projecting their y/n fantasies to real life school, scholastic book catalogues, rp accs, I mean idek anymore https://t.co/Hs7EMNwEVO",,2022-03-19,,,,1.0,0.0,
school life anime,ShochanGaiden64,"@OtakemaruBubsVT @Lyssanah &amp; @xCrossBite were my first however they didn’t break those gates of anime peeps devouring my life, it was this one girl i had a crush in middle school that did that :3",,2022-03-19,,,,3.0,0.0,
school life anime,izushortcake,my old friend from middle school told me to watch school days cause they said it was a cute slice of life romance anime. https://t.co/Z5fu8Ziy6n,,2022-03-19,,,,0.0,0.0,
school life anime,EHK45_ART,"LOOKING FOR INTERACTIVE ART AND ANIME MOOTS!!!
-- I'm an artist and animator and mostly tweet stuff related to these
-- I also love anime and manga and tweet about them a lot 
-- well I'm 14 and go to school and I also tweet stuff related to my personal life
#animoots #artmoots",,2022-03-19,,,,11.0,2.0,
school life anime,AMasrizky,"Charlotte maann, I want to watch school life but this anime got another idea 😔😔 https://t.co/WEgqvEQUzG",,2022-03-19,,,,0.0,0.0,
school life anime,AraSenpa1,@SlyPerformer @Le93ndary Some people may find it boring but if you're into slice of life and mystery this is the show and also the perfect anime to describe Japanese high school life,,2022-03-19,,,,1.0,0.0,
school life anime,EHK45_ART,LOOKING FOR INTERACTIVE ART AND ANIME MOOTS Im an artist and animator and mostly tweet stuff related to these I also love anime and manga and tweet about them a lot well Im 14 and go to school and I also tweet stuff related to my personal lifeanimoots artmoots,,2022-03-19,,,,11.0,2.0,
school life anime,notoriouslydev,"@TeddiSundae Don’t know if your timeline hasn’t been filled with this anime enough but My Dress Up Darling is SO CUTEEEEE!!! Slice of life, romantic anime about cosplay and after school life. Highly recommend! 
If you want adventure, Mushoku Tensei is fantastic! Isekai but done right 😊",,2022-03-19,,,,0.0,0.0,
school life anime,AraSenpa1,SlyPerformer Le93ndary Some people may find it boring but if youre into slice of life and mystery this is the show and also the perfect anime to describe Japanese high school life,,2022-03-19,,,,1.0,0.0,
school life anime,maysurei,13 yo obsessed with boy bands anime nerds yugioh card collectors Naruto sprint emo phase crushes bringing toys to school projecting their yn fantasies to real life school scholastic book catalogues rp accs I mean idek anymore,,2022-03-19,,,,1.0,0.0,
school life anime,EHK45_ART,LOOKING FOR INTERACTIVE ART AND ANIME MOOTS Im an artist and animator and mostly tweet stuff related to these I also love anime and manga and tweet about them a lot well Im 14 and go to school and I also tweet stuff related to my personal lifeanimoots artmoots,,2022-03-19,,,,12.0,2.0,
school life anime,TommiKHayabusa,"@Quanxi13 But hmm favorite anime? I have a lot. I'mma have to go with 2 old ones and 2 known ones. 1)Android girl fights crooks with choker necklace.
2)Robot boy be a child but also helps people. 3)High school boy infected with unknown worm, life sucks. 4)Random town murders. Done.",,2022-03-19,,,,2.0,0.0,
school life anime,anime_malayali3,@mukul_nips @Mo_Ka_Mouka @ImtiazMadmood Because it is not govt's job to promote any religious text with tax payers money. Govt should not have any business in what people believe in their personal life. Govt can teach religious text in school as just a book instead of it as holy book.,,2022-03-19,,,,1.0,0.0,
school life anime,Shikibaka,"@redlianak Meanwhile in anime, a good major chuck of all that is made is based in that junior high and high school age period xD from slice of life dramas, to sports, to fiction and fantasy. My Hero Academia is a big one for example!",,2022-03-19,,,,1.0,0.0,
school life anime,UglyTurtleTV,"@urgfkass Working, gyming, school. Not much social life. Binge watching anime whenever I can. Eating, rinse and repeat.",,2022-03-19,,,,0.0,0.0,
school life anime,Surticks,cheffavro1 5 girls that are in a prison like school and all of them explain their reasons on why they ended up there A guy then shows up to start his ordinary life there and well it starts become other than ordinary pretty good anime totally would recommend,,2022-03-19,,,,0.0,0.0,
school life anime,moon_star_606,"i should start romanticizing my life like a ghibli movie or a cute anime

my bus ride to school? i’m on my way to magic school to learn how to be a better witch

i think i just don’t appreciate the beauty of daily life as much as i should",,2022-03-19,,,,0.0,0.0,
school life anime,notoriouslydev,TeddiSundae Dont know if your timeline hasnt been filled with this anime enough but My Dress Up Darling is SO CUTEEEEE Slice of life romantic anime about cosplay and after school life Highly recommend If you want adventure Mushoku Tensei is fantastic Isekai but done right,,2022-03-19,,,,0.0,0.0,
school life anime,Shikibaka,redlianak Meanwhile in anime a good major chuck of all that is made is based in that junior high and high school age period xD from slice of life dramas to sports to fiction and fantasy My Hero Academia is a big one for example,,2022-03-19,,,,1.0,0.0,
school life anime,anime_malayali3,mukulnips MoKaMouka ImtiazMadmood Because it is not govts job to promote any religious text with tax payers money Govt should not have any business in what people believe in their personal life Govt can teach religious text in school as just a book instead of it as holy book,,2022-03-19,,,,1.0,0.0,
school life anime,UglyTurtleTV,urgfkass Working gyming school Not much social life Binge watching anime whenever I can Eating rinse and repeat,,2022-03-19,,,,0.0,0.0,
school life anime,EHK45_ART,"LOOKING FOR INTERACTIVE ART AND ANIME MOOTS!!!
-- I'm an artist and animator and mostly tweet stuff related to these
-- I also love anime and manga and tweet about them a lot 
-- well I'm 14 and go to school and I also tweet stuff related to my personal life
#animoots #artmoots",,2022-03-19,,,,12.0,2.0,
school life anime,ShochanGaiden64,OtakemaruBubsVT Lyssanah amp xCrossBite were my first however they didnt break those gates of anime peeps devouring my life it was this one girl i had a crush in middle school that did that 3,,2022-03-19,,,,3.0,0.0,
school life anime,moon_star_606,i should start romanticizing my life like a ghibli movie or a cute animemy bus ride to school im on my way to magic school to learn how to be a better witchi think i just dont appreciate the beauty of daily life as much as i should,,2022-03-19,,,,0.0,0.0,
school life anime,TommiKHayabusa,Quanxi13 But hmm favorite anime I have a lot Imma have to go with 2 old ones and 2 known ones 1Android girl fights crooks with choker necklace2Robot boy be a child but also helps people 3High school boy infected with unknown worm life sucks 4Random town murders Done,,2022-03-19,,,,2.0,0.0,
school life anime,izushortcake,my old friend from middle school told me to watch school days cause they said it was a cute slice of life romance anime,,2022-03-19,,,,0.0,0.0,
school life anime,AMasrizky,Charlotte maann I want to watch school life but this anime got another idea,,2022-03-19,,,,0.0,0.0,
