Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
shounen ai,PeechPoof,kalabasanieiji alpraydmr luvsashie that doesnt make sense Sure its not the focus of the story but that doesnt mean its not shounen ai,en,2022-04-08,,[],positive,6.0,0.0,0.09375
shounen ai,PeechPoof,kalabasanieiji alpraydmr luvsashie that doesnt make sense Sure its not the focus of the story but that doesnt mean its not shounen ai,en,2022-04-08,,[],positive,10.0,0.0,0.09375
shounen ai,kalabasanieiji,PeechPoof alpraydmr luvsashie Yes they do hold romantic feelings for each other but thats not the main point its not the focus of the series so its not shounen ai the plot is literally abt gangs SA illegal experimental drug etc A trauma filled show So Please dont water it down to BL,en,2022-04-08,,[],negative,1.0,0.0,-0.0162698412698412
shounen ai,PeechPoof,kalabasanieiji alpraydmr luvsashie that doesnt make sense Sure its not the focus of the story but that doesnt mean its not shounen ai,en,2022-04-08,,[],positive,9.0,0.0,0.09375
shounen ai,fluffyskiesss,when all of the manhwas are being released on lezhin and you decided to just read the shounen ai version eveIans,en,2022-04-08,she/her eng/id,[],neutral,0.0,0.0,0.0
shounen ai,PeechPoof,kalabasanieiji alpraydmr luvsashie that doesnt make sense Sure its not the focus of the story but that doesnt mean its not shounen ai,en,2022-04-08,,[],positive,4.0,0.0,0.09375
shounen ai,kalabasanieiji,PeechPoof alpraydmr luvsashie Yes they do hold romantic feelings for each other but thats not the main point its not the focus of the series so its not shounen ai the plot is literally abt gangs SA illegal experimental drug etc A trauma filled show So Please dont water it down to BL,en,2022-04-08,,[],negative,2.0,0.0,-0.0162698412698412
shounen ai,PeechPoof,kalabasanieiji alpraydmr luvsashie that doesnt make sense Sure its not the focus of the story but that doesnt mean its not shounen ai,en,2022-04-08,,[],positive,12.0,0.0,0.09375
shounen ai,masterashomon,ChibiChuuya1 Shounen ai is more leaning on plot while Yaoi focused mainly on romance and other stuff sooooShounen aigtgtgtgtgtgtgt,en,2022-04-08,Chuuya :},[],positive,1.0,0.0,0.1805555555555555
shounen ai,PeechPoof,kalabasanieiji alpraydmr luvsashie that doesnt make sense Sure its not the focus of the story but that doesnt mean its not shounen ai,en,2022-04-08,,[],positive,5.0,0.0,0.09375
shounen ai,PeechPoof,kalabasanieiji alpraydmr luvsashie that doesnt make sense Sure its not the focus of the story but that doesnt mean its not shounen ai,en,2022-04-08,,[],positive,11.0,0.0,0.09375
shounen ai,booba_tea0,Please check out Too close My Dear Nemesis by Jijing Jun and Shou It is not even R rated and it is already in my top 3 Shounen Ai It is so funny and fluffy it would give Cherry Blossoms After Winter a run for its money,en,2022-04-08,,[],positive,0.0,0.0,0.1833333333333333
shounen ai,PeechPoof,kalabasanieiji alpraydmr luvsashie that doesnt make sense Sure its not the focus of the story but that doesnt mean its not shounen ai,en,2022-04-08,,[],positive,8.0,0.0,0.09375
shounen ai,fluffyskiesss,when all of the manhwas are being released on lezhin and you decided to just read the shounen ai version eveIans,en,2022-04-08,she/her eng/id,[],neutral,1.0,0.0,0.0
shounen ai,paturisho,idk if its okay or not to read shounen ai manga next week if its not then Im just going to spend my time on research and myactivities on gclass are waving at me jdjskkd,en,2022-04-08,,[],positive,1.0,0.0,0.25
shounen ai,itsdyraa,I forgot that i read shounen ai instead of yaoi no wonder it tooks 50 chapter for them to finally have a first kiss,en,2022-04-08,404 Not Found,[],positive,0.0,0.0,0.125
shounen ai,smgp_art,Havent posted in a whileAlso thats a shounen ai sasaki to miyano except the first one,en,2022-04-08,,[],positive,8.0,1.0,0.25
shounen ai,NorowaretaNerd,ChibiChuuya1 Shounen Ai if I want some good plots or comfy read and Yaoi just to pass on the comfy reading,en,2022-04-08,WANNA FUCKING SLEEP! And 19+,[],positive,0.0,0.0,0.7
shounen ai,PeechPoof,kalabasanieiji Im not watering it down to BL Im simply saying that it is in fact listed as a shounen ai and you clearly are getting to bent out of shape over the fact that it is Yes the show is about gangs and traumatic events but that doesnt mean it isnt listed as a shounen ai,en,2022-04-08,,[],negative,0.0,0.0,-0.0920138888888889
shounen ai,kalabasanieiji,PeechPoof alpraydmr luvsashie Yes they do hold romantic feelings for each other but thats not the main point its not the focus of the series so its not shounen ai the plot is literally abt gangs SA illegal experimental drug etc A trauma filled show So Please dont water it down to BL,en,2022-04-08,,[],negative,3.0,0.0,-0.0162698412698412
shounen ai,crimsonflowcr,how did i go from reading fluffy shounen ai stories to falling down the harada rabbit hole again amp rereading their works,en,2022-04-08,they/them • 25,[],negative,0.0,0.0,-0.1777777777777778
shounen ai,Mintsuga_ot7,Weverse writing about shounen ai hello,en,2022-04-08,India,[],neutral,0.0,0.0,0.0
shounen ai,kalabasanieiji,PeechPoof Yes they do hold romantic feelings for each other but thats not the main point its not the focus of the series so its not shounen ai the plot is literally abt gangs SA illegal experimental drug etc A trauma filled show So Please dont water it down to BL,en,2022-04-08,,[],negative,0.0,0.0,-0.0162698412698412
shounen ai,booba_tea0,Please check out Too close My Dear Nemesis by Jijing Jun and Shou It is not even R rated and it is already in my top 3 Shounen Ai It is so funny and fluffy it would give Cherry Blossoms After Winter a run for its money,en,2022-04-08,,[],positive,1.0,0.0,0.1833333333333333
shounen ai,masterashomon,ChibiChuuya1 Shounen ai is more leaning on plot while Yaoi focused mainly on romance and other stuff sooooShounen aigtgtgtgtgtgtgt,en,2022-04-08,Chuuya :} not spoiler free,[],positive,1.0,0.0,0.1805555555555555
shounen ai,PeechPoof,mfs out here pressed over banana fish being shounen ai Like sure its not the main focus of the story but eiji and ash do hold romantic feelings for each other,en,2022-04-08,,[],positive,1.0,0.0,0.1354166666666666
shounen ai,PeechPoof,kalabasanieiji alpraydmr luvsashie that doesnt make sense Sure its not the focus of the story but that doesnt mean its not shounen ai,en,2022-04-08,,[],positive,13.0,0.0,0.09375
