Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
disney animation,DuskBoshi14,RT shanhorandraws when I was 14 I printed all my art on nice photo paper and put it in a binder and brought it to disney world with my pa,en,2022-04-16,pfp by @Stinger_Wanjiro,[],positive,0.0,76.0,0.6
disney animation,melanchoeddie,RT shanhorandraws when I was 14 I printed all my art on nice photo paper and put it in a binder and brought it to disney world with my pa,en,2022-04-16,pfp @i7-4i,[],positive,0.0,76.0,0.6
disney animation,Edabli34,RT ItsPongu Then I bet you werent expecting THISAh HAEdas seductive shankI dont know whybut Im glad I did didnt know,en,2022-04-16,Texas Tech University,[],positive,0.0,4378.0,0.5
disney animation,jorjeena_,RT PoohChaiKonNun อธิบายสั้นๆคือหลังจากดิสนีย์ซื้อกิจการเครือ Fox ไปแล้วเจอกระแสพิษโควิดพอดี ทำให้ไม่มีเงินทุนพอจะอุ้มสตูดิโออนิเ,th,2022-04-16,𝕤𝕗𝟡 🐣👅✨,[],positive,0.0,639.0,75.0
disney animation,Magpiestars,RT shanhorandraws when I was 14 I printed all my art on nice photo paper and put it in a binder and brought it to disney world with my pa,en,2022-04-16,,[],positive,0.0,117.0,0.6
disney animation,MaddPanda13,RT shanhorandraws when I was 14 I printed all my art on nice photo paper and put it in a binder and brought it to disney world with my pa,en,2022-04-16,Australia,[],positive,0.0,76.0,0.6
disney animation,SwampertSpawner,RT shanhorandraws when I was 14 I printed all my art on nice photo paper and put it in a binder and brought it to disney world with my pa,en,2022-04-16,he/him,[],positive,0.0,76.0,0.6
disney animation,de10_mas,RT ItsPongu Then I bet you werent expecting THISAh HAEdas seductive shankI dont know whybut Im glad I did didnt know,en,2022-04-16,,[],positive,0.0,4427.0,0.5
disney animation,AnAzureKing,RT ForkFrenzy PSA Often media DISTRIBUTORS like Disney Cartoon Network and Netflix have their own STUDIOS like disney animation studi,en,2022-04-16,He/Him || 20 || 🇵🇭,[],positive,0.0,329.0,0.6
disney animation,DinosaurJaime,RT shanhorandraws when I was 14 I printed all my art on nice photo paper and put it in a binder and brought it to disney world with my pa,en,2022-04-16,,[],positive,0.0,43.0,0.6
disney animation,Cloudsthesky,RT shanhorandraws when I was 14 I printed all my art on nice photo paper and put it in a binder and brought it to disney world with my pa,en,2022-04-16,gone ,[],positive,0.0,76.0,0.6
