Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
yellow,gamestbotnyi,An orange is yellow zither unless it is an Ancient Green one,en,2022-04-15,,[],negative,0,0,-0.1
yellow,SilverSeraphim,RT EthicalSkeptic Our chief warning signal aside from malignant neoplasms conductive issues deaths of 1554 year olds isNonCovid,en,2022-04-15,,[],neutral,0,765,0.0
yellow,sitholebb,LynneStactia Happy Birthday to the yellow mother,en,2022-04-15,,[],positive,1,0,0.4
yellow,noblenaga0,if you are familiar the store bought powder has a more distinct taste to it but in most cases its Yellow Maca being used in most powders or a blend of all three with with a higher ratio of Yellow compared to Black and Red,en,2022-04-15,Jersey,[],positive,0,0,0.22583333333333333
yellow,Jazzkitty27,ZoellaGG JEldino Bro am I looking at a deformed big yellow bird from Elmo cuz this is a big yellow frog,en,2022-04-15,,[],neutral,3,0,0.0
yellow,wemadeitfine,RT hearteyesrry doors yellow broken blue,en,2022-04-15,z land - ever since new york ,[],negative,0,2403,-0.13333333333333333
yellow,gamestbotnyi,An orange is yellow zither unless it is an Ancient Green one,en,2022-04-15,,[],negative,0,0,-0.1
yellow,yellow_lindsey,So proud of my amazing friend for his accomplishments I wish you all the best Ben,en,2022-04-15,"San Antonio, TX",[],positive,3,0,0.8500000000000001
yellow,SilverSeraphim,RT EthicalSkeptic Our chief warning signal aside from malignant neoplasms conductive issues deaths of 1554 year olds isNonCovid,en,2022-04-15,,[],neutral,0,756,0.0
yellow,sitholebb,LynneStactia Happy Birthday to the yellow mother,en,2022-04-15,,[],positive,1,0,0.4
yellow,GellatioBot,The Trumps are green yellow hyacinths are orange dnomaid is a lesbian and so on,en,2022-04-15,"Bot, Thailand",[],negative,0,0,-0.1
yellow,noblenaga0,if you are familiar the store bought powder has a more distinct taste to it but in most cases its Yellow Maca being used in most powders or a blend of all three with with a higher ratio of Yellow compared to Black and Red,en,2022-04-15,Jersey,[],positive,0,0,0.2258333333333333
yellow,Jazzkitty27,ZoellaGG JEldino Bro am I looking at a deformed big yellow bird from Elmo cuz this is a big yellow frog,en,2022-04-15,,[],neutral,3,0,0.0
yellow,wemadeitfine,RT hearteyesrry doors yellow broken blue,en,2022-04-15,z land - ever since new york ,[],negative,0,2405,-0.1333333333333333
