Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
fantasy anime,Mog_of_Fantasy,RT everythingJJBA Anime JoJos bizarre adventure Stone Ocean,en,2022-04-08,🌌,[],positive,0.0,245.0,0.4
fantasy anime,GalaxyYandere89,astrosteve jlist I mean these same fantasy creatures use primitive medieval weapons so theyd obviously be no match for coldwar era tech So this anime is more fun and realistic compared to those anime where primitive weapons overpower modern ones,en,2022-04-08,Kepler-1649c,[],positive,0.0,0.0,0.1067708333333333
fantasy anime,matrix_fantasy,RT cryptoismeta everai is to scifi what azuki is to anime i wouldnt sleep on it TheEverai,en,2022-04-08,United States,[],neutral,0.0,15.0,0.0
fantasy anime,edenxsometimes,My WIP YA novels steampunk monster hunting apocalypse aversion monster of the week show but set in Yorkshire final fantasy but make it anime tournament arc Twelfth Night fantasy retelling,en,2022-04-08,"England, United Kingdom",[],neutral,1.0,0.0,0.0
fantasy anime,alshutaifi,RT raziel011DEF The colored version if Melinass first superhero armor by the one and only Yokimuraart glad to be able to share this b,en,2022-04-08,"Riyadh, Kingdom of Saudi Arabia",[],positive,0.0,4.0,0.3125
fantasy anime,StormChaserspod,We love this picture of Zago from our artist Steven Wu He went for a bit of a Studio Trigger kind of styleMine is the dagger that will pierce the heavens Zago probablychasethestormaudiodrama podcast dnd fantasy anime pirates action comedy,en,2022-04-08,,"['chasethestorm', 'audiodrama', 'podcast', 'dnd', 'fantasy', 'anime', 'pirates', 'action', 'comedy']",positive,0.0,0.0,0.4916666666666667
fantasy anime,rinreadsmanga,So anime can provide me a million slave waifu fantasy isekai but not the shojo ones where the fantasy is the heroine retreating to the countryside amp opening up a cafe where she meets a nice hot guy or several Okay priorities,en,2022-04-08,,[],positive,23.0,2.0,0.3375
fantasy anime,sillymos_nft,RT AkijeNFT Monochrome Fantasy is a collection based on drawings made on paper in black ink like traditional mangaThe link on fou,en,2022-04-08,ประเทศไทย,[],negative,0.0,4.0,-0.0833333333333333
fantasy anime,Destined2Kreate,If youre looking for new reads check out my new novel Forever Blu Available now on AmazonAlso check out some free chapters on mewordpress novel amazon art illustration anime drawing fantasy book,en,2022-04-08,,"['wordpress', 'novel', 'amazon', 'art', 'illustration', 'anime', 'drawing', 'fantasy', 'book']",positive,2.0,0.0,0.2681818181818182
fantasy anime,Ekow71,RT RemnantLabs What makes Remnant unique 2in1 project incorporating NFTs into a P2E game Fantasy animethemed NFT char,en,2022-04-08,,"['NFTs', 'P2E', 'anime', 'NFT']",negative,0.0,32.0,-0.0125
