Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
spy x family,yoosunfish,RT Crunchyroll SPY x FAMILY arrives on Crunchyroll this April,en,2022-03-26,she/her | 20,[],neutral,0.0,1720.0,0.0
spy x family,aamandab_d,RT Crunchyroll SPY x FAMILY arrives on Crunchyroll this April,en,2022-03-26,,[],neutral,0.0,1720.0,0.0
spy x family,aintapril,RT animetvjp Character VisualsSPY x FAMILY AnimeScheduled for April 9More,en,2022-03-26,capyper land,[],neutral,0.0,804.0,0.0
spy x family,surlysagittari,RT Crunchyroll SPY x FAMILY arrives on Crunchyroll this April,en,2022-03-26,,[],neutral,0.0,1720.0,0.0
spy x family,_assckerman,RT Crunchyroll SPY x FAMILY arrives on Crunchyroll this April,en,2022-03-26,,[],neutral,0.0,1720.0,0.0
spy x family,hewkapii,RT jamthofficial Spy x Family 9 Nerflix JapanAnimeMovieTha,th,2022-03-26,、มุ่ / #ยกเลิกม.112,['JapanAnimeMovieTha'],,0.0,455.0,0.0
spy x family,tob4ias,RT animetvjp Character VisualsSPY x FAMILY AnimeScheduled for April 9More,en,2022-03-26,,[],neutral,0.0,804.0,0.0
spy x family,OwiDkami,RT Crunchyroll SPY x FAMILY arrives on Crunchyroll this April,en,2022-03-26,,[],neutral,0.0,1720.0,0.0
spy x family,kaitogaming1412,AniTrendz Looking forward for spy x family to aim top,en,2022-03-26,,[],positive,0.0,0.0,0.5
spy x family,Vxe_1649,RT Crunchyroll SPY x FAMILY arrives on Crunchyroll this April,en,2022-03-26,20 ♡,[],neutral,0.0,1720.0,0.0
spy x family,graydali,RT myanimelist News Spy x Family unveils character visuals for Loid Forger Takuya Eguchi Yor Forger Saori Hayami amp Anya Forger At,en,2022-03-26,"she/her 24, Europe",[],neutral,0.0,139.0,0.0
spy x family,reddy_abcde,RT jamthofficial Spy x Family 9 Nerflix JapanAnimeMovieTha,th,2022-03-26,,['JapanAnimeMovieTha'],,0.0,455.0,0.0
spy x family,fysrna,RT Crunchyroll SPY x FAMILY arrives on Crunchyroll this April,en,2022-03-26,,[],neutral,0.0,1720.0,0.0
spy x family,HoneyToast_____,RT myanimelist News Spy x Family unveils character visuals for Loid Forger Takuya Eguchi Yor Forger Saori Hayami amp Anya Forger At,en,2022-03-26,백현밖에 없어,[],neutral,0.0,139.0,0.0
spy x family,1OPITER,OOMFS HAS ANYONE READ SPY X FAMILY YET AND DO U WANT TO MATCH PFPS,en,2022-03-26,国崩しの心,[],neutral,0.0,0.0,0.0
spy x family,LuiisM_18,RT Crunchyroll SPY x FAMILY arrives on Crunchyroll this April,en,2022-03-26,,[],neutral,0.0,1720.0,0.0
spy x family,Punnakun4,RT museacgth SPY X FAMILY 9 2200,th,2022-03-26,,[],,0.0,202.0,0.0
spy x family,arxxct_,RT jamthofficial Spy x Family 9 Nerflix JapanAnimeMovieTha,th,2022-03-26,/ ⛓️,['JapanAnimeMovieTha'],,0.0,455.0,0.0
spy x family,aarsi_3,RT animetvjp Character VisualsSPY x FAMILY AnimeScheduled for April 9More,en,2022-03-26,,[],neutral,0.0,804.0,0.0
spy x family,uuzilla,RT museacgth SPY X FAMILY 9 2200,th,2022-03-26,,[],,0.0,202.0,0.0
spy x family,lesspork,RT jamthofficial Spy x Family 9 Nerflix JapanAnimeMovieTha,th,2022-03-26,,['JapanAnimeMovieTha'],,0.0,455.0,0.0
spy x family,kaitogaming1412,RT SpyFamilyShots 19 days until Spy x Family,en,2022-03-26,,[],neutral,0.0,314.0,0.0
spy x family,SilverWield,RT Crunchyroll SPY x FAMILY arrives on Crunchyroll this April,en,2022-03-26,living rent free in your head,[],neutral,0.0,1720.0,0.0
spy x family,maintaytawan,Spy x family Netflix,en,2022-03-26,,[],neutral,0.0,0.0,0.0
spy x family,MoreClaymore,RT Crunchyroll SPY x FAMILY arrives on Crunchyroll this April,en,2022-03-26,,[],neutral,0.0,1720.0,0.0
