Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
shounen,tamachanja,RT cloverblossoms NTV announced to postpone the 2nd episode of drama Kindaichi Shounen no Jikenbo starring MichiedaShunsuke due to ma,en,2022-04-27,,['MichiedaShunsuke'],negative,0.0,34.0,-0.0625
shounen,tamachanja,RT cloverblossoms NTV announced to postpone the 2nd episode of drama Kindaichi Shounen no Jikenbo starring MichiedaShunsuke due to ma,en,2022-04-27,,['MichiedaShunsuke'],negative,0.0,42.0,-0.0625
shounen,ajibola_akeem,RT AnimeBallsDeep One Piece has the most 1010 moments in Shounen Manga History its simply the bestJust finished Sabaody Archipelago,en,2022-04-27,"Lagos, Nigeria",[],positive,0.0,13.0,0.5
shounen,GasmaskApe,RT CthuhluRisen Always bully shounentards until they return to their caves,en,2022-04-27,Australia,[],neutral,0.0,42.0,0.0
shounen,MrEinFan,RT chimvalli MrEinFan I mean shounen are still huge Arent Demon Slayer Attack on Titan and that hero show like the biggest anime of,en,2022-04-27,Rokkenjima,[],positive,0.0,1.0,0.04375
shounen,HLNV01,RT MangaMoguraRE InSpectre Kyokou suiri manga by Kyo Shirodaira Chashiba Katase is on cover of the upcoming Monthly Shounen Magazin,en,2022-04-27,Hanoi,[],neutral,0.0,7.0,0.0
shounen,iiinoue,every shounen ai,en,2022-04-27,,[],neutral,0.0,0.0,0.0
shounen,linkitin77,RT CthuhluRisen Always bully shounentards until they return to their caves,en,2022-04-27,Xadia,[],neutral,0.0,29.0,0.0
shounen,AlphasArcade,RT MangaMoguraRE Tokyo Revengers color page by Ken Wakui in the latest Weekly Shounen Magazine issue 22232022 Image Kodansha Ken,en,2022-04-27,Wherever Khamzat Chimaev is,[],positive,0.0,76.0,0.5
shounen,VinoK61754614,chileadcat servallandau The thing abt traveller is that he show his thoughts through actions not words U see his actions in the story A straightforward guy with immediate and strong opinion base on how fast his decision is This make him stands out from any other shounen protagonist so u cant,en,2022-04-27,,[],positive,0.0,0.0,0.0166666666666666
shounen,KaizukaZekrom,Anime always has been weird stfu lmfao Anime aint only about Seinen and Shounen,en,2022-04-27,,[],negative,2.0,0.0,-0.25
shounen,MangaMogura,RT MangaMoguraRE InSpectre Kyokou suiri manga by Kyo Shirodaira Chashiba Katase is on cover of the upcoming Monthly Shounen Magazin,en,2022-04-27,,[],neutral,0.0,4.0,0.0
shounen,covertjellybaby,RT MangaMoguraRE InSpectre Kyokou suiri manga by Kyo Shirodaira Chashiba Katase is on cover of the upcoming Monthly Shounen Magazin,en,2022-04-27,"Johannesburg, South Africa",[],neutral,0.0,4.0,0.0
shounen,MangaMoguraRE,InSpectre Kyokou suiri manga by Kyo Shirodaira Chashiba Katase is on cover of the upcoming Monthly Shounen Magazine issue 62022English release KodanshaManga French release pikaedition,en,2022-04-27,,[],neutral,14.0,2.0,0.0
shounen,Kamijouma,RT CthuhluRisen Always bully shounentards until they return to their caves,en,2022-04-27,amogus,[],neutral,0.0,29.0,0.0
shounen,Kato_Shuu,RT MangaMoguraRE Gotoubun no Hanayome by Negi Haruba will get an extra volume 145 including a completely new epilogue chapter set afte,en,2022-04-27,,[],positive,0.0,193.0,0.0681818181818181
shounen,OdinSnivyGunner,RT CthuhluRisen Always bully shounentards until they return to their caves,en,2022-04-27,,[],neutral,0.0,30.0,0.0
shounen,JurassicOtaku,RT CthuhluRisen Always bully shounentards until they return to their caves,en,2022-04-27,'Murica,[],neutral,0.0,31.0,0.0
shounen,tenshi_feather,RT CthuhluRisen Always bully shounentards until they return to their caves,en,2022-04-27,,[],neutral,0.0,31.0,0.0
shounen,RotofBots,OPisGOATperiod LastNameReVoo DragonGoAT Learn what shounen is Its a demographic based on what magazine the manga is published inNot some arbitrary definition that youve ascribed to it,en,2022-04-27,,[],negative,1.0,0.0,-0.1
shounen,superseyan101,ahh another shit take from a shounen normie,en,2022-04-27,Constant Tinapol,[],negative,1.0,0.0,-0.2
shounen,LastNameReVoo,OPisGOATperiod RotofBots DragonGoAT Thats because its a parody of not shounen elements but anime and super hero troupes a whole If its not published under a Shonen Magazine then it will never be a Shonen Unless the publishers change,en,2022-04-27,MD ,[],positive,1.0,0.0,0.2666666666666666
shounen,2sideAnime,RT DonquixoteD7 KenpachiJay BlackClovertwt 2sideAnime Literally the best twist in modern shounen no new gen has a moment even remote,en,2022-04-27,,[],positive,0.0,8.0,0.3772727272727272
