Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
animation,Fill86824802,RT TheMirzaBeig Electriclightning spline prototype Essentially a bezier curve used to generate line renderer segments with discrete ti,en,2022-04-11,,[],neutral,0.0,54.0,0.0
animation,saharbfb,spiesondisguise amp onward are best animation i have ever watchedin my entire life,en,2022-04-11,in my gaming room :),"['spiesondisguise', 'onward']",positive,0.0,0.0,0.5
animation,LoomeM,RT SourGummyGurlz Painting i did as a background for an animation,en,2022-04-11,Al Madinah Al Munawwarah,[],neutral,0.0,15956.0,0.0
animation,prwchrisa,RT SourGummyGurlz Painting i did as a background for an animation,en,2022-04-11,,[],neutral,0.0,16837.0,0.0
animation,NajiLukis,RT Pidato90 Some sneak peek D animation,en,2022-04-11,,['animation'],positive,0.0,1.0,1.0
animation,DjapaXx,RT ThePossessedNFT XRay vision check out the workings of our animation system Were gonna release another blog soon showcasing some,en,2022-04-11,"Serbia, Novi Sad",[],neutral,0.0,209.0,0.0
animation,rom2kg,RT SourGummyGurlz Painting i did as a background for an animation,en,2022-04-11,?,[],neutral,0.0,19098.0,0.0
animation,lizzirian,RT SourGummyGurlz Painting i did as a background for an animation,en,2022-04-11,,[],neutral,0.0,16248.0,0.0
animation,ReAnimetron,RT eizoraik Naruto Shippuden Ending 4 Awaken Wild NarutoShippudenEnding4 NarutoShippuden Ending 4 Anime Animated Animations A,en,2022-04-11,Animeland,"['NarutoShippudenEnding4', 'NarutoShippuden', 'Ending', '4', 'Anime', 'Animated', 'Animations', 'A']",positive,0.0,2.0,0.1
animation,AxieMirror,SmallLovePotion Cards not holding positions in hand compared to v2 so you can missclick and play not wanted card if animation stucks and it is happening but you cannot fix any mistake now as you are using now Heartstone mechanics Cards are unbalanced green thorns magic sack and many more,en,2022-04-11,,[],positive,0.0,0.0,0.325
animation,pluffbebop,RT SourGummyGurlz Painting i did as a background for an animation,en,2022-04-11,"Alaska, USA",[],neutral,0.0,17174.0,0.0
animation,criscm15,RT SourGummyGurlz Painting i did as a background for an animation,en,2022-04-11,Come find me,[],neutral,0.0,17536.0,0.0
animation,AprilCoxTravel1,RT BelloKevy New Video Resort Hopping Around Disney World Port Orleans Caribbean Beach Resort Art of Animation Tour of each resor,en,2022-04-11,,[],positive,0.0,8.0,0.2663352272727272
animation,LuckyGriffin,RT LexieDraw Animated Pony CommissionEstimate the price Send the reference for estimate price first The price starts 85 depe,en,2022-04-11,"Liverpool, England",[],positive,0.0,86.0,0.25
animation,Saife2d1,RT SourGummyGurlz Painting i did as a background for an animation,en,2022-04-11,,[],neutral,0.0,19094.0,0.0
animation,PrettyAngyVA,RT SourGummyGurlz Painting i did as a background for an animation,en,2022-04-11,IN YOUR WALLS,[],neutral,0.0,18191.0,0.0
animation,MuttonChopWSS,RT ZoroxAnimated Working on a commission for iVorare Squishy transforming between Stick and HumanoidAnimation Animated Squishy OC,en,2022-04-11,"Detroit, MI","['Animation', 'Animated', 'Squishy', 'OC']",neutral,0.0,16.0,0.0
animation,Cursed1345,RT SourGummyGurlz Painting i did as a background for an animation,en,2022-04-11,,[],neutral,0.0,17174.0,0.0
animation,arcanerosie,RT SourGummyGurlz Painting i did as a background for an animation,en,2022-04-11,,[],neutral,0.0,19672.0,0.0
animation,Live_Animation_,This is extraordinary,en,2022-04-11,"Victoria, Tamaulipas",[],positive,0.0,1.0,0.3333333333333333
animation,Chan_you_digit,RT SourGummyGurlz Painting i did as a background for an animation,en,2022-04-11,,[],neutral,0.0,25238.0,0.0
animation,bat_faye,RT KurbiisMind Oh hey when they said the software had bugsthis isnt what I expected pixelart animation aseprite,en,2022-04-11,Wouldn't you like to know,"['pixelart', 'animation', 'aseprite']",negative,0.0,6.0,-0.1
animation,DylanGood20,RT SourGummyGurlz Painting i did as a background for an animation,en,2022-04-11,,[],neutral,0.0,25238.0,0.0
animation,xOxPhanteraxOx,RT trayfiskart ervacegen x4pdn Huepje AqueousWC WolfRamArt Babarobot alekranon EdaLamia tririnity111 AfroozGholizade Mag,en,2022-04-11,United States,[],neutral,0.0,5.0,0.0
animation,hellobeastly,RT SourGummyGurlz Painting i did as a background for an animation,en,2022-04-11,,[],neutral,0.0,17174.0,0.0
animation,Omni_Bruh,ZiedTa I think his animation look fine Just not really ultra level This goku shouldnt even be an ultra he just got his ass beat lmao,en,2022-04-11,,[],positive,0.0,0.0,0.3055555555555555
animation,TreeHDigital,RT StretchSense MetaHumans amp StretchSense star in TreeHDigitals animated short horror film The Well Read more about how it was mad,en,2022-04-11,"Bournemouth, UK","['MetaHumans', 'StretchSense']",positive,0.0,2.0,0.25
animation,pinnedupink,Nexus And Patrick Osborne Reveal Teaser For RealTime Animation Project This Tape Deck Is A Time Machine from cartoonbrew animation cartoon,en,2022-04-11,The City of Amnesia ,"['animation', 'cartoon']",neutral,0.0,0.0,0.0
animation,gordeebrubaduck,RT SourGummyGurlz Painting i did as a background for an animation,en,2022-04-11,ys mh wjy dw mj wz ww sm,[],neutral,0.0,19094.0,0.0
animation,CloudySkies_98,Doriansan2 SleepingIshi You suddenly know everything about animation huh I would love to see you go make one of those or even be talented enough to make it into the animation industry,en,2022-04-11,"England, United Kingdom",[],positive,0.0,0.0,0.3
animation,takyon236,RT takyon236 AND ITS OUT SOUND ON A 6 minutes animations I made for siizlak and his musical project as usual using Disco Anothe,en,2022-04-11,France,[],positive,0.0,18.0,0.0291666666666666
animation,UrChips,RT SourGummyGurlz Painting i did as a background for an animation,en,2022-04-11,im lost some help me pls,[],neutral,0.0,17853.0,0.0
animation,mamakumboula,RT SourGummyGurlz Painting i did as a background for an animation,en,2022-04-11,🌈,[],neutral,0.0,18513.0,0.0
