Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
ต่างโลก,adahcmocha,RT iZeeNNew แล้วที่ชอบอีกอย่างคือเป็นชื่อด้อมที่ออกเสียงภาษาไทยกับภาษาอังกฤษแทบไม่ต่างกัน ไม่อยู่ตรงไหนของมุมโลกก็เป็น ซนซน เหมือนกันหมด,th,2022-04-21,,['ซนซน'],negative,0.0,79.0,80.0
ต่างโลก,wongujunk,RT iZeeNNew แล้วที่ชอบอีกอย่างคือเป็นชื่อด้อมที่ออกเสียงภาษาไทยกับภาษาอังกฤษแทบไม่ต่างกัน ไม่อยู่ตรงไหนของมุมโลกก็เป็น ซนซน เหมือนกันหมด,th,2022-04-21,THAILAND,['ซนซน'],negative,0.0,79.0,80.0
ต่างโลก,yiyiyi94,RT nallalisa ลิซ่าเป็นศิลปินที่มีความคิดน่านับถือและเข้าใจเลยว่าการเติบโตมาอย่างดีเป็นไง ทั้งมุมมอง ทัศนคติ การมองโลกและการยอมรับความ,th,2022-04-21,,[],positive,0.0,115.0,96.97
ต่างโลก,ZNNKMMJ,RT iZeeNNew แล้วที่ชอบอีกอย่างคือเป็นชื่อด้อมที่ออกเสียงภาษาไทยกับภาษาอังกฤษแทบไม่ต่างกัน ไม่อยู่ตรงไหนของมุมโลกก็เป็น ซนซน เหมือนกันหมด,th,2022-04-21,"จ.เชียงใหม่, ประเทศไทย",['ซนซน'],negative,0.0,79.0,80.0
ต่างโลก,muyimsocute,RT iZeeNNew แล้วที่ชอบอีกอย่างคือเป็นชื่อด้อมที่ออกเสียงภาษาไทยกับภาษาอังกฤษแทบไม่ต่างกัน ไม่อยู่ตรงไหนของมุมโลกก็เป็น ซนซน เหมือนกันหมด,th,2022-04-21,,['ซนซน'],negative,0.0,79.0,80.0
ต่างโลก,_N170305_,RT iZeeNNew แล้วที่ชอบอีกอย่างคือเป็นชื่อด้อมที่ออกเสียงภาษาไทยกับภาษาอังกฤษแทบไม่ต่างกัน ไม่อยู่ตรงไหนของมุมโลกก็เป็น ซนซน เหมือนกันหมด,th,2022-04-21,,['ซนซน'],negative,0.0,79.0,80.0
ต่างโลก,panida_1986,RT iZeeNNew แล้วที่ชอบอีกอย่างคือเป็นชื่อด้อมที่ออกเสียงภาษาไทยกับภาษาอังกฤษแทบไม่ต่างกัน ไม่อยู่ตรงไหนของมุมโลกก็เป็น ซนซน เหมือนกันหมด,th,2022-04-21,ประเทศไทย,['ซนซน'],negative,0.0,79.0,80.0
ต่างโลก,vanida02815141,RT loverTK ขุดเส้นทางความรักตออรมาดูแล้วแบบ เรายินดีกับทั้งคู่ด้วยจริงๆอ่ะที่ได้เจอคนที่เข้ามาทำให้แต่ละวันของเรามีความหมายมาก ต่าง,th,2022-04-21,,[],positive,0.0,18.0,80.0
ต่างโลก,Maysa_RJL,RT xiaomao ทุกคนบนโลกใบนี้ต่างก็มีเอกลักษณ์เป็นของตัวเอง ไม่มีใครแทนที่ใครได้ ต่างคนต่างก็มีข้อดีและข้อเสียของตัวเองเหรินเจียหลุน,th,2022-04-21,,['เหร'],negative,0.0,29.0,80.0
ต่างโลก,NYBBFF,RT iZeeNNew แล้วที่ชอบอีกอย่างคือเป็นชื่อด้อมที่ออกเสียงภาษาไทยกับภาษาอังกฤษแทบไม่ต่างกัน ไม่อยู่ตรงไหนของมุมโลกก็เป็น ซนซน เหมือนกันหมด,th,2022-04-21,,['ซนซน'],negative,0.0,79.0,80.0
ต่างโลก,21inlovewithyou,RT iZeeNNew แล้วที่ชอบอีกอย่างคือเป็นชื่อด้อมที่ออกเสียงภาษาไทยกับภาษาอังกฤษแทบไม่ต่างกัน ไม่อยู่ตรงไหนของมุมโลกก็เป็น ซนซน เหมือนกันหมด,th,2022-04-21,,['ซนซน'],negative,0.0,79.0,80.0
ต่างโลก,ren_natda,RT xiaomao ทุกคนบนโลกใบนี้ต่างก็มีเอกลักษณ์เป็นของตัวเอง ไม่มีใครแทนที่ใครได้ ต่างคนต่างก็มีข้อดีและข้อเสียของตัวเองเหรินเจียหลุน,th,2022-04-21,,['เหร'],negative,0.0,29.0,80.0
ต่างโลก,nongzeenunew,RT iZeeNNew แล้วที่ชอบอีกอย่างคือเป็นชื่อด้อมที่ออกเสียงภาษาไทยกับภาษาอังกฤษแทบไม่ต่างกัน ไม่อยู่ตรงไหนของมุมโลกก็เป็น ซนซน เหมือนกันหมด,th,2022-04-21,ประเทศไทย,['ซนซน'],negative,0.0,79.0,80.0
ต่างโลก,PeidSi,RT iZeeNNew แล้วที่ชอบอีกอย่างคือเป็นชื่อด้อมที่ออกเสียงภาษาไทยกับภาษาอังกฤษแทบไม่ต่างกัน ไม่อยู่ตรงไหนของมุมโลกก็เป็น ซนซน เหมือนกันหมด,th,2022-04-21,,['ซนซน'],negative,0.0,79.0,80.0
ต่างโลก,Mochimonkung,RT iZeeNNew แล้วที่ชอบอีกอย่างคือเป็นชื่อด้อมที่ออกเสียงภาษาไทยกับภาษาอังกฤษแทบไม่ต่างกัน ไม่อยู่ตรงไหนของมุมโลกก็เป็น ซนซน เหมือนกันหมด,th,2022-04-21,,['ซนซน'],negative,0.0,79.0,80.0
ต่างโลก,Heijisann,RT Itsnotsapphire ติ่งเกาหลีเลิกวัดขนาดเวที coachella กันยัง อีกฝั่งซีกโลกด่ากันเรื่อง ca พวกแฟชั่น outfit ต่าง ๆ ของปีก่อน ๆ ปีนี้น้อยล,th,2022-04-21,,[],,0.0,190.0,0.0
ต่างโลก,DskkKwang,RT lovewithBBH พอเป็นงานระดับโลกอิออก็นึกถึงอซนะ แต่ไม่เห็นจะสนใจฟคต่างชาติ แค่คอนเท้นอซ ยังลงแฟลตฟอร์มที่ดูได้แต่เกาหลีเลย อินเตอร์ห,th,2022-04-21,,[],positive,0.0,237.0,75.0
ต่างโลก,kkk_eiei,RT candyclover สมาชิก Team Century ในแต่ละแวดวงจะตั้งเป้าหมายเพื่อสร้างอนาคตที่ยั่งยืนและการจัดฟุตบอลโลกที่เป็นกลางทางคาร์บอน Carbon Ne,th,2022-04-21,,[],positive,0.0,196.0,80.0
ต่างโลก,_oshf111,RT savoryyah แต่นิยายเรามีตัวละครที่นั่งใต้ต้นโพธิ์แล้ววาร์ปไปต่างโลกได้ด้วยนะ,th,2022-04-21,,[],,0.0,4.0,0.0
ต่างโลก,tivotivotew,RT krutun ประเทศเนเธอร์แลนด์ที่มีกฎหมายสมรสเท่าเทียมเป็นประเทศแรกของโลก ก็มีศาสนาคริสต์นิกายโรมันคาทอลิกที่เคร่งอย่างมาก และหากเรามองทั่,th,2022-04-21,"UTH , Kingdom of Thailand",[],positive,0.0,5.0,66.67
ต่างโลก,warmars_,RT mysonshy ตอนผมมาติ่งแรกๆผมน่ะนั่งดูคลิปนี้แล้วตกใจมากว่านี่ผมได้ตกหลุมรักเด็กที่เต้นเก่งที่สุดในโลกเหรอเนี่ย ผมนั่งดูย้อนตั้งแต่มิ,th,2022-04-21,CB ALLREN JD MM ZS,[],positive,0.0,150.0,80.0
ต่างโลก,T2311N,RT mxypitchltt ถ้าอยากมีเงิน ไมไม่เลิกใช้เชื้อเพลิงฟอสซิลละหาเงินด้านอื่นอะ ยิ่งใช้ยิ่งไม่มีเวลาหาเงินหรือใช้เงินนะ เพราะเหลือเเค่ ปี,th,2022-04-21,,[],positive,0.0,9.0,66.67
ต่างโลก,Algiz7375,ขอขอบคุณสำหรับความเหนื่อยยาก ขอให้ทุกคนได้เพลิดเพลินไปกับงานเลี้ยงฉลองดื่มจากตอนที่ แตกกอง และฉลองนิยายเด็กดี นิยายแฟนตาซี ต่างโลก ตอนใหม่ นิยายแฟนตาซีคนไทย ลานแดนแฟนซี แนะนํานิยาย,th,2022-04-21,,"['น', 'น', 'ต', 'ตอนใหม', 'น', 'ลานแดนแฟนซ', 'แนะน']",positive,8.0,8.0,94.12
ต่างโลก,TNSP_ARS,RT novelzme อยากจะให้ด้อม ซนซน ดังไปต่างดาวเลยอะ ข้ามโลกข้ามประเทศไปเลย,th,2022-04-21,"จ.ชลบุรี, ประเทศไทย",['ซนซน'],negative,0.0,26.0,80.0
ต่างโลก,takeyangnoos,RT pondkungZz ตอนนี้ในเว่ยป๋อมีแทค เซียวจ้านนักแสดงที่หล่อที่สุดในโลกปี ขอแสดงความยินดีกับ เซียวจ้าน ที่คว้าตำแหน่งนักแสดงที่หล่,th,2022-04-21,,['เซ'],positive,0.0,155.0,80.0
ต่างโลก,Jaemin1B,RT chinskinnerd ไม่มีครีมตัวไหนในโลกที่ดีเพอร์เฟคสำหรับทุกคนครีมทุกตัวออกแบบมาให้เหมาะกับกลุ่มคนที่แตกต่าง บางตัวครอบคลุมกลุ่มคนได้แคบ,th,2022-04-21,,[],positive,0.0,138.0,66.67
ต่างโลก,wara9878,RT pondkungZz ตอนนี้ในเว่ยป๋อมีแทค เซียวจ้านนักแสดงที่หล่อที่สุดในโลกปี ขอแสดงความยินดีกับ เซียวจ้าน ที่คว้าตำแหน่งนักแสดงที่หล่,th,2022-04-21,ประเทศไทย,['เซ'],positive,0.0,57.0,80.0
ต่างโลก,srtndyq,RT lovewithBBH พอเป็นงานระดับโลกอิออก็นึกถึงอซนะ แต่ไม่เห็นจะสนใจฟคต่างชาติ แค่คอนเท้นอซ ยังลงแฟลตฟอร์มที่ดูได้แต่เกาหลีเลย อินเตอร์ห,th,2022-04-21,,[],positive,0.0,177.0,75.0
ต่างโลก,naanooryy,RT bellugiisg โคเวย์มันก็แปะAdทุกที่แหละ เดินในกทมแทบจะเจอทุกเสาไฟทุกป้ายบิลบอร์ดมันเป็นบริษัทต่างชาติไม่มาสนใจว่าเจ้าไหนสลิ่มเจ้าไหนปช,th,2022-04-21,ใต้ตึกนั้น,[],positive,0.0,94.0,75.0
ต่างโลก,New_MyLife7,RT candyclover สมาชิก Team Century ในแต่ละแวดวงจะตั้งเป้าหมายเพื่อสร้างอนาคตที่ยั่งยืนและการจัดฟุตบอลโลกที่เป็นกลางทางคาร์บอน Carbon Ne,th,2022-04-21,,[],positive,0.0,277.0,80.0
ต่างโลก,yumeqirlx_,RT imaginationnat คู่เรานี่เขาถามทุกวันว่า นอนหลับสบายไหม วันนี้จะทำไรรู้สึกยังไง งานโอเคไหม กับ ขอให้นอนหลับสบายฝันดี เรามองว่,th,2022-04-21,,[],positive,0.0,27.0,96.0
ต่างโลก,txnqmy,RT mysonshy ตอนผมมาติ่งแรกๆผมน่ะนั่งดูคลิปนี้แล้วตกใจมากว่านี่ผมได้ตกหลุมรักเด็กที่เต้นเก่งที่สุดในโลกเหรอเนี่ย ผมนั่งดูย้อนตั้งแต่มิ,th,2022-04-21,1o0% jen(o+nie),[],positive,0.0,210.0,80.0
ต่างโลก,khkchnk,RT mysonshy ตอนผมมาติ่งแรกๆผมน่ะนั่งดูคลิปนี้แล้วตกใจมากว่านี่ผมได้ตกหลุมรักเด็กที่เต้นเก่งที่สุดในโลกเหรอเนี่ย ผมนั่งดูย้อนตั้งแต่มิ,th,2022-04-21,jaemin & jisung,[],positive,0.0,158.0,80.0
ต่างโลก,lama_cutiecute,RT krutun ที่สุดแล้วกระทรวงยุติธรรมและท่านรัฐมนตรีก็พายเรือวนในอ่าง ทั้งทั้งที่ข้อโต้แย้งประเด็นสมรสเท่าเทียมกับศาสนานั้น ทั่วโลกต่างถกเ,th,2022-04-21,"Bangkok, Thailand",[],positive,0.0,5.0,66.67
ต่างโลก,kumiko_88,RT Sulovebossss โลกทุกวันนี้ การตบมือข้างเดียวและความเย่อหยิ่ง มันใช้ไม่ได้ผลอีกแล้ว เราควรไกล่เกลี่ยความเห็นต่าง และยุติความขัดแย้งด้วย,th,2022-04-21,เมียมโนของพี่จ้าน,[],negative,0.0,7.0,88.89
ต่างโลก,AprilShire,อาจมีspoil อ่านฝ่ากฎรักต่างโลกจบละ ปรากฏว่าเราอินคู่ซ่งซ่งมากกว่าคู่หลัก แบบเออ ทุกสิ่งที่ซ่งจื้อทำลงไปก็เพื่อซ่งหลิ่นจริงๆ ชั้นถูกทำให้สับสนว่าจริงๆแล้วเค้าควรเป็นสถานะพ่อลูกหรือคนรัก ตอนอ่านๆที่ซ่งจื้อคุยกะโม่เย่ก็คือรักแน่นอน รักแบบคนรัก แต่บางที่ก็แบบเอ๊ะ รึเปล่านะ,th,2022-04-21,,[],positive,0.0,0.0,98.63
ต่างโลก,silapata,RT Sulovebossss โลกทุกวันนี้ การตบมือข้างเดียวและความเย่อหยิ่ง มันใช้ไม่ได้ผลอีกแล้ว เราควรไกล่เกลี่ยความเห็นต่าง และยุติความขัดแย้งด้วย,th,2022-04-21,,[],negative,0.0,7.0,88.89
ต่างโลก,TuaLax,RT Sulovebossss โลกทุกวันนี้ การตบมือข้างเดียวและความเย่อหยิ่ง มันใช้ไม่ได้ผลอีกแล้ว เราควรไกล่เกลี่ยความเห็นต่าง และยุติความขัดแย้งด้วย,th,2022-04-21,"Amphoe Ko Samui, Surat Thani Province",[],negative,0.0,7.0,88.89
ต่างโลก,Nanniie02,RT novelzme อยากจะให้ด้อม ซนซน ดังไปต่างดาวเลยอะ ข้ามโลกข้ามประเทศไปเลย,th,2022-04-21,,['ซนซน'],negative,0.0,26.0,80.0
ต่างโลก,Bam_wanee,RT xiaomao ทุกคนบนโลกใบนี้ต่างก็มีเอกลักษณ์เป็นของตัวเอง ไม่มีใครแทนที่ใครได้ ต่างคนต่างก็มีข้อดีและข้อเสียของตัวเองเหรินเจียหลุน,th,2022-04-21,,['เหร'],negative,0.0,22.0,80.0
