Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
2d animation,NeverSu64836697,RT NeverSu64836697 Yes thats the reason and not that their last 2D films bombed scaring them away from theatrical 2D animation Jesse,en,2022-03-21 16:57:14+00:00,My Bathtub Full Of Purell,[],neutral,0,2,0.0
2d animation,animationjobs,Producer 2D Animation job with M2 Animation a Bangkok based studio animation animationjobs 2d artistjobs 2danimator 2danimation,en,2022-03-21 17:00:38+00:00,Global 🌍,"['animation', 'animationjobs', '2d', 'artistjobs', '2danimator', '2danimation']",neutral,0,0,0.0
2d animation,JNumbat17,Lets go down the list of things i want to be good at shall weStoryboarding2D Animation2D backgroundsPainted 2D illustrations3D Modeling amp RiggingUnity Game Dev2D amp 3DI have alot on my plate and likely wont finish until im like 28yrs or something Lmao,en,2022-03-21 16:58:03+00:00,"Tennessee, USA",[],positive,0,0,0.14888888888888888
2d animation,AnimatorsPal,RT NeverSu64836697 Yes thats the reason and not that their last 2D films bombed scaring them away from theatrical 2D animation Jesse,en,2022-03-21 16:57:17+00:00,Berlin,[],neutral,0,2,0.0
2d animation,NeverSu64836697,Yes thats the reason and not that their last 2D films bombed scaring them away from theatrical 2D animation Jesse Hawken just admit you look for reasons to hate the MCU and be honest,en,2022-03-21 16:57:11+00:00,My Bathtub Full Of Purell,[],negative,0,2,-0.05000000000000002
animation,P0G16,RT LumpyTouch Animation testA sidescrolling GBC Dating Sim early development,en,2022-03-21 17:00:56+00:00,Canada,[],positive,0,22,0.1
animation,Raspi_Sat,France Mto Sat24 Animation,en,2022-03-21 17:00:56+00:00,France,"['France', 'Météo', 'Sat24']",neutral,0,0,0.0
animation studio,Fireart_studio,Animation of the Finance App by Fireart StudioWere passionate about creating beautiful design for startups amp leading brandsHire us clientfireartstudio,en,2022-03-21 17:00:26+00:00,Europe,[],positive,0,0,0.39999999999999997
animation studio,PeterOliva00,ackerache Mopper back at it doing something every animation studio does,en,2022-03-21 16:59:24+00:00,"Palermo (Italy 🇮🇹), 21.",[],neutral,1,0,0.0
animation studio,anti_gifted,RT rocketboiART Super stoked to announce that I did LO and key animation on a couple shots on ATTACK ON TITAN for tonights episode Than,en,2022-03-21 16:58:23+00:00,yokohama gangster paradise,[],positive,0,648,0.16666666666666666
animation studio,animationjobs,Producer 2D Animation job with M2 Animation a Bangkok based studio animation animationjobs 2d artistjobs 2danimator 2danimation,en,2022-03-21 17:00:38+00:00,Global 🌍,"['animation', 'animationjobs', '2d', 'artistjobs', '2danimator', '2danimation']",neutral,0,0,0.0
animation studio,redbooktwin,RT chengxiaoshi A Studio LAN staff made this fluffy short animation featuring Cheng Xiaoshi and Lu Guang on a rainy day,en,2022-03-21 16:59:38+00:00,,[],negative,0,76,-0.1
anime,hin0rei,RT animesvisuaI Anime Darling in the FranXX,en,2022-03-21 17:00:57+00:00,Miami,[],neutral,0,245,0.0
anime,lis_go04,RT KimetsuVibings Anime Demon Slayer,en,2022-03-21 17:00:58+00:00,,[],neutral,0,204,0.0
anime,juliezxoxo,RT shojopicture Anime Fruits Basket,en,2022-03-21 17:00:58+00:00,,[],neutral,0,1061,0.0
anime,_tpz53,RT VisualAnimes Anime Demon Slayer,en,2022-03-21 17:00:58+00:00,,[],neutral,0,1265,0.0
anime,ChrisBeveridge,Kanna and Yasha Race In This Child of Kamiari Month Anime Feature Film Clip ChildOfKamiariMonth Netflix,en,2022-03-21 17:00:58+00:00,USA USA USA,"['Anime', 'ChildOfKamiariMonth', 'Netflix']",neutral,0,0,0.0
